Trade_Dt,Fund_Cumulative,Cumulative_Return_Benchmark
1/2/2017,999.2,999.5575318
1/3/2017,994.3,1007.18328
1/4/2017,1007,1010.706638
1/5/2017,1023.6,1022.65328
1/6/2017,1026.9,1021.954071
1/9/2017,1016.8,1018.856793
1/10/2017,1018.4,1027.274614
1/11/2017,1021.6,1028.509155
1/12/2017,1025.2,1039.996941
1/13/2017,1019.7,1039.243106
1/16/2017,1006.8,1031.273216
1/17/2017,1005.6,1037.959402
1/18/2017,1010.7,1041.455447
1/19/2017,1013.1,1037.560635
1/20/2017,1014.4,1036.129441
1/23/2017,1022.4,1046.442774
1/24/2017,1041.2,1053.997509
1/25/2017,1046.9,1058.110825
1/26/2017,1049.4,1063.453219
1/27/2017,1054.7,1062.513656
1/30/2017,1048,1059.230652
1/31/2017,1048.2,1054.773194
2/1/2017,1059.4,1059.170563
2/2/2017,1055.8,1061.754359
2/3/2017,1055.8,1066.020627
2/6/2017,1063.5,1070.811301
2/7/2017,1061.4,1067.23878
2/8/2017,1063.6,1069.412883
2/9/2017,1063.7,1073.952279
2/10/2017,1072.9,1079.294673
2/13/2017,1075.6,1085.467378
2/14/2017,1071.4,1083.883232
2/15/2017,1074,1092.836385
2/16/2017,1076.6,1097.375781
2/17/2017,1075.6,1089.782808
2/20/2017,1077.9,1095.065114
2/21/2017,1080.1,1097.736311
2/22/2017,1077.5,1103.930866
2/23/2017,1080.3,1105.291046
2/24/2017,1076.8,1095.360093
2/27/2017,1081.4,1091.683783
2/28/2017,1076.6,1087.138924
3/1/2017,1074.7,1089.771883
3/2/2017,1068.5,1087.488529
3/3/2017,1068.8,1081.299436
3/6/2017,1076.3,1085.270725
3/7/2017,1074.7,1087.663331
3/8/2017,1066.6,1085.909846
3/9/2017,1063.3,1072.133243
3/10/2017,1070.8,1075.869641
3/13/2017,1076.5,1090.252589
3/14/2017,1089.5,1092.049775
3/15/2017,1104,1096.28873
3/16/2017,1114.7,1119.286151
3/17/2017,1124.2,1122.039287
3/20/2017,1121.2,1129.949089
3/21/2017,1123.5,1130.80125
3/22/2017,1111.3,1123.994887
3/23/2017,1114.3,1125.229428
3/24/2017,1121.5,1126.698859
3/27/2017,1120.3,1122.754884
3/28/2017,1121.2,1128.146441
3/29/2017,1128.6,1130.315081
3/30/2017,1131.7,1127.74221
3/31/2017,1129.6,1114.856007
4/3/2017,1136.1,1122.85321
4/4/2017,1137.6,1123.006162
4/5/2017,1150.9,1127.922475
4/6/2017,1150.2,1121.039636
4/7/2017,1162.6,1119.133199
4/10/2017,1163.7,1114.959795
4/11/2017,1162.8,1110.961194
4/12/2017,1165.6,1115.418651
4/13/2017,1161.4,1120.930385
4/14/2017,1160.7,1118.122624
4/17/2017,1158,1120.842984
4/18/2017,1156.4,1115.074509
4/19/2017,1155.8,1109.579164
4/20/2017,1160.9,1116.035922
4/21/2017,1160.3,1120.034523
4/24/2017,1173.7,1131.593323
4/25/2017,1184.4,1144.76358
4/26/2017,1190.1,1144.681641
4/27/2017,1184.8,1141.436875
4/28/2017,1187.1,1139.497662
5/1/2017,1188.2,1141.595289
5/2/2017,1198.7,1151.673732
5/3/2017,1197.3,1148.947909
5/4/2017,1189.6,1142.4693
5/5/2017,1188.4,1140.437224
5/8/2017,1193,1148.489053
5/9/2017,1199.1,1154.989512
5/10/2017,1203.6,1160.239042
5/11/2017,1217.2,1166.378971
5/12/2017,1221.4,1168.793427
5/15/2017,1235,1178.047022
5/16/2017,1233.4,1183.771796
5/17/2017,1223.1,1176.3427
5/18/2017,1185.6,1152.760783
5/19/2017,1198,1161.44627
5/22/2017,1187.2,1170.869204
5/23/2017,1180.5,1171.907093
5/24/2017,1180.1,1172.606302
5/25/2017,1188.8,1183.749945
5/26/2017,1194.1,1186.748897
5/29/2017,1192.5,1184.700433
5/30/2017,1183.9,1180.740069
5/31/2017,1187.2,1173.420225
6/1/2017,1191.1,1177.265874
6/2/2017,1195,1185.301315
6/5/2017,1204.2,1188.338505
6/6/2017,1197.4,1186.45938
6/7/2017,1199.5,1186.399292
6/8/2017,1209.5,1190.600009
6/9/2017,1214.6,1189.600358
6/12/2017,1210.9,1178.877333
6/13/2017,1217.9,1180.406852
6/14/2017,1224.9,1185.033649
6/15/2017,1221.7,1173.376524
6/16/2017,1222.1,1172.819342
6/19/2017,1221.5,1184.399991
6/20/2017,1212.6,1179.603854
6/21/2017,1208.4,1177.10746
6/22/2017,1210.7,1181.035048
6/23/2017,1203.8,1184.410916
6/26/2017,1209.2,1194.95914
6/27/2017,1209.4,1192.189617
6/28/2017,1211.9,1187.0111
6/29/2017,1209.5,1189.715072
6/30/2017,1214.3,1186.027837
7/3/2017,1225.7,1191.184504
7/4/2017,1222.6,1182.499017
7/5/2017,1227.1,1186.453918
7/6/2017,1232,1183.263777
7/7/2017,1235.4,1179.188699
7/10/2017,1233.9,1187.420793
7/11/2017,1235.8,1198.225757
7/12/2017,1246.6,1212.308264
7/13/2017,1259,1225.866364
7/14/2017,1260.8,1233.448411
7/17/2017,1259.8,1238.905519
7/18/2017,1268,1241.156098
7/19/2017,1269.2,1249.781497
7/20/2017,1263.5,1248.983962
7/21/2017,1269.6,1250.065551
7/24/2017,1270.3,1254.954551
7/25/2017,1273.9,1252.021151
7/26/2017,1277.1,1252.856924
7/27/2017,1275.7,1260.810427
7/28/2017,1277.5,1253.747323
7/31/2017,1288.5,1257.680374
8/1/2017,1286.8,1261.089018
8/2/2017,1295.2,1262.356334
8/3/2017,1289.1,1255.555434
8/4/2017,1292.8,1259.428397
8/7/2017,1300.4,1269.097146
8/8/2017,1300.4,1272.959184
8/9/2017,1287.7,1261.755452
8/10/2017,1267,1247.001049
8/11/2017,1260.3,1231.268846
8/14/2017,1269.4,1244.105886
8/15/2017,1267.1,1242.882271
8/16/2017,1280.2,1252.174103
8/17/2017,1277.7,1255.915964
8/18/2017,1282.7,1251.469431
8/21/2017,1278.6,1256.37482
8/22/2017,1281.2,1266.884805
8/23/2017,1282,1270.653979
8/24/2017,1281.4,1278.804134
8/25/2017,1279.3,1282.278329
8/28/2017,1284,1281.966962
