Trade_Dt,PNL,Positive_Var90D,Negative_Var90D,,,,,,,,,
02-Jan-17,-0.08,2.66,-2.66,,,,,,,,,
03-Jan-17,-0.5,2.67,-2.67,,,,,,,,,
04-Jan-17,1.28,2.69,-2.69,,,,,,,,,
05-Jan-17,1.65,2.74,-2.74,,,,,,,,,
06-Jan-17,0.33,2.71,-2.71,,,,,,,,,
09-Jan-17,-0.99,2.73,-2.74,,,,,,,,,
10-Jan-17,0.16,2.72,-2.72,,,,,,,,,
11-Jan-17,0.32,2.71,-2.71,,,,,,,,,
12-Jan-17,0.35,2.72,-2.72,,,,,,,,,
13-Jan-17,-0.54,2.7,-2.70,,,,,,,,,
16-Jan-17,-1.26,2.67,-2.67,,,,,,,,,
17-Jan-17,-0.12,2.66,-2.66,,,,,,,,,
18-Jan-17,0.5,2.67,-2.67,,,,,,,,,
19-Jan-17,0.24,2.67,-2.67,,,,,,,,,
20-Jan-17,0.12,2.66,-2.66,,,,,,,,,
23-Jan-17,0.79,2.7,-2.70,,,,,,,,,
24-Jan-17,1.84,2.75,-2.75,,,,,,,,,
25-Jan-17,0.55,2.76,-2.76,,,,,,,,,
26-Jan-17,0.24,2.76,-2.76,,,,,,,,,
27-Jan-17,0.5,2.75,-2.75,,,,,,,,,
30-Jan-17,-0.63,2.71,-2.71,,,,,,,,,
31-Jan-17,0.02,2.69,-2.69,,,,,,,,,
01-Feb-17,1.07,2.66,-2.66,,,,,,,,,
02-Feb-17,-0.34,2.67,-2.67,,,,,,,,,
03-Feb-17,0,2.64,-2.64,,,,,,,,,
06-Feb-17,0.73,2.59,-2.59,,,,,,,,,
07-Feb-17,-0.19,2.4,-2.40,,,,,,,,,
08-Feb-17,0.2,2.24,-2.24,,,,,,,,,
09-Feb-17,0.01,1.68,-1.68,,,,,,,,,
10-Feb-17,0.86,1.68,-1.68,,,,,,,,,
13-Feb-17,0.26,1.66,-1.66,,,,,,,,,
14-Feb-17,-0.39,1.67,-1.67,,,,,,,,,
15-Feb-17,0.24,1.67,-1.67,,,,,,,,,
16-Feb-17,0.25,1.67,-1.67,,,,,,,,,
17-Feb-17,-0.09,1.66,-1.66,,,,,,,,,
20-Feb-17,0.21,1.62,-1.62,,,,,,,,,
21-Feb-17,0.2,1.58,-1.58,,,,,,,,,
22-Feb-17,-0.24,1.58,-1.58,,,,,,,,,
23-Feb-17,0.26,1.58,-1.58,,,,,,,,,
24-Feb-17,-0.32,1.57,-1.57,,,,,,,,,
27-Feb-17,0.43,1.57,-1.57,,,,,,,,,
28-Feb-17,-0.45,1.57,-1.58,,,,,,,,,
01-Mar-17,-0.18,1.51,-1.52,,,,,,,,,
02-Mar-17,-0.58,1.52,-1.52,,,,,,,,,
03-Mar-17,0.02,1.52,-1.52,,,,,,,,,
06-Mar-17,0.7,1.54,-1.54,,,,,,,,,
07-Mar-17,-0.15,1.54,-1.54,,,,,,,,,
08-Mar-17,-0.75,1.53,-1.53,,,,,,,,,
09-Mar-17,-0.31,1.53,-1.54,,,,,,,,,
10-Mar-17,0.7,1.53,-1.53,,,,,,,,,
13-Mar-17,0.54,1.49,-1.49,,,,,,,,,
14-Mar-17,1.21,1.5,-1.50,,,,,,,,,
15-Mar-17,1.33,1.49,-1.49,,,,,,,,,
16-Mar-17,0.98,1.52,-1.52,,,,,,,,,
17-Mar-17,0.85,1.52,-1.52,,,,,,,,,
20-Mar-17,-0.27,1.5,-1.50,,,,,,,,,
21-Mar-17,0.2,1.51,-1.51,,,,,,,,,
22-Mar-17,-1.09,1.52,-1.52,,,,,,,,,
23-Mar-17,0.28,1.52,-1.52,,,,,,,,,
24-Mar-17,0.64,1.51,-1.51,,,,,,,,,
27-Mar-17,-0.11,1.47,-1.47,,,,,,,,,
28-Mar-17,0.09,1.45,-1.45,,,,,,,,,
29-Mar-17,0.65,1.38,-1.38,,,,,,,,,
30-Mar-17,0.27,1.37,-1.37,,,,,,,,,
31-Mar-17,-0.18,1.37,-1.37,,,,,,,,,
03-Apr-17,0.57,1.36,-1.36,,,,,,,,,
04-Apr-17,0.13,1.34,-1.34,,,,,,,,,
05-Apr-17,1.17,1.34,-1.34,,,,,,,,,
06-Apr-17,-0.06,1.34,-1.34,,,,,,,,,
07-Apr-17,1.08,1.36,-1.36,,,,,,,,,
10-Apr-17,0.09,1.34,-1.34,,,,,,,,,
11-Apr-17,-0.08,1.34,-1.34,,,,,,,,,
12-Apr-17,0.23,1.33,-1.33,,,,,,,,,
13-Apr-17,-0.36,1.31,-1.31,,,,,,,,,
