Trade_Dt,Sector,PNL
8/1/2019,Communication Services,-34281.95036
8/2/2019,Communication Services,-67876.20956
8/5/2019,Communication Services,-39029.42494
8/6/2019,Communication Services,-8404.969125
8/7/2019,Communication Services,11287.64808
8/8/2019,Communication Services,13617.09385
8/9/2019,Communication Services,-27904.99587
8/12/2019,Communication Services,-28526.94172
8/13/2019,Communication Services,-5059.200484
8/14/2019,Communication Services,-26664.21566
8/15/2019,Communication Services,-2040.463391
8/16/2019,Communication Services,79268.85753
8/19/2019,Communication Services,40979.92765
8/20/2019,Communication Services,4949.832648
8/21/2019,Communication Services,37319.86058
8/22/2019,Communication Services,13254.1041
8/23/2019,Communication Services,-8596.623342
8/26/2019,Communication Services,12636.82378
8/27/2019,Communication Services,-7761.72064
8/28/2019,Communication Services,3186.084366
8/29/2019,Communication Services,-1471.68522
8/30/2019,Communication Services,-16246.03542
8/1/2019,Consumer Discretionary,-51882.68751
8/2/2019,Consumer Discretionary,-79877.84729
8/5/2019,Consumer Discretionary,-437960.0868
8/6/2019,Consumer Discretionary,113068.3225
8/7/2019,Consumer Discretionary,-163662.1889
8/8/2019,Consumer Discretionary,150332.4831
8/9/2019,Consumer Discretionary,98777.95643
8/12/2019,Consumer Discretionary,-159577.4162
8/13/2019,Consumer Discretionary,212997.366
8/14/2019,Consumer Discretionary,-336363.4918
8/15/2019,Consumer Discretionary,144418.9853
8/16/2019,Consumer Discretionary,126833.2507
8/19/2019,Consumer Discretionary,118501.512
8/20/2019,Consumer Discretionary,-50024.43268
8/21/2019,Consumer Discretionary,185548.7363
8/22/2019,Consumer Discretionary,9783.5506
8/23/2019,Consumer Discretionary,-18107.85
8/26/2019,Consumer Discretionary,-171426.05
8/27/2019,Consumer Discretionary,-74205.1362
8/28/2019,Consumer Discretionary,-85600.84
8/29/2019,Consumer Discretionary,81074.082
8/30/2019,Consumer Discretionary,154380.66
8/1/2019,Consumer Staples,551060.6946
8/2/2019,Consumer Staples,27261.46
8/5/2019,Consumer Staples,-29863.6932
8/6/2019,Consumer Staples,-302338.1734
8/7/2019,Consumer Staples,108671.4276
