Trade_Dt,Annl Fund ,Annl Benchmark,Ann'l Fund Vol,Ann'l Benchmark Vol,Max Drawdown - Fund,Max Drawdown - Bench Mark,Sharpe - Fund,Sharpe - Benchmark,Sortino - Fund,Sortino - Benchmark
01-02-2017,-18.26%,-0.105532459,3.20%,0.098661054,0.00%,0.00%,-1.6,-1.6,-2.25,-2.25
01-03-2017,-51.34%,1.46417734,4.75%,0.090603398,0.50%,0.50%,-4.58,-4.58,-6.44,-6.44
01-04-2017,79.67%,1.44630114,14.77%,0.064072206,0.50%,0.50%,6.86,6.86,9.64,9.64
01-05-2017,334.72%,3.101003849,16.45%,0.083866368,0.50%,0.50%,29.02,29.02,40.78,40.78
01-06-2017,281.08%,1.987730678,14.37%,0.085333957,0.50%,0.50%,24.45,24.45,34.37,34.37
01-09-2017,101.32%,1.191553664,16.21%,0.090123886,0.99%,0.99%,8.72,8.72,12.26,12.26
01-10-2017,92.78%,1.634608083,14.82%,0.087841364,0.99%,0.99%,7.98,7.98,11.22,11.22
01-11-2017,96.04%,1.424136666,13.72%,0.082687179,0.99%,0.99%,8.28,8.28,11.64,11.64
01-12-2017,100.74%,1.99845636,12.84%,0.087268736,0.99%,0.99%,8.7,8.7,12.23,12.23
1/13/2017,63.50%,1.637984494,12.79%,0.086176741,0.99%,0.99%,5.43,5.43,7.63,7.63
1/16/2017,16.80%,1.024790946,14.00%,0.098661054,1.96%,1.96%,1.37,1.37,1.93,1.93
1/17/2017,12.44%,1.186692483,13.38%,0.095555172,2.07%,2.07%,1,1,1.41,1.41
1/18/2017,22.91%,1.19764786,12.96%,0.09149332,2.07%,2.07%,1.9,1.9,2.67,2.67
1/19/2017,26.40%,0.941971042,12.47%,0.092629578,2.07%,2.07%,2.22,2.22,3.12,3.12
1/20/2017,27.15%,0.815329383,12.02%,0.090777375,2.07%,2.07%,2.27,2.27,3.19,3.19
1/23/2017,41.75%,1.044178726,11.93%,0.092701721,2.07%,2.07%,3.55,3.55,4.99,4.99
1/24/2017,81.94%,1.180535957,13.27%,0.091315832,2.07%,2.07%,7.04,7.04,9.9,9.9
1/25/2017,89.96%,1.205140178,12.92%,0.088638512,2.07%,2.07%,7.75,7.75,10.89,10.89
1/26/2017,89.56%,1.261362703,12.56%,0.086416094,2.07%,2.07%,7.72,7.72,10.84,10.84
1/27/2017,95.63%,1.146915547,12.25%,0.085385806,2.07%,2.07%,8.24,8.24,11.58,11.58
1/30/2017,75.52%,0.994740827,12.35%,0.085898767,2.07%,2.07%,6.49,6.49,9.13,9.13
1/31/2017,71.47%,0.841945525,12.07%,0.087080823,2.07%,2.07%,6.15,6.15,8.64,8.64
02-01-2017,88.18%,0.877324945,12.12%,0.085270718,2.07%,2.07%,7.6,7.6,10.68,10.68
02-02-2017,76.85%,0.876085183,12.01%,0.083396779,2.07%,2.07%,6.61,6.61,9.29,9.29
