Year,Month,value
2017,Jan,0.047770019
2017,Feb,0.026882379
2017,Mar,0.048539863
2017,Apr,0.049923729
2017,May,0.001019435
2017,Jun,0.022769586
2017,Jul,0.059532128
2017,Aug,-0.001678889
2017,Sep,0.013409193
2017,Oct,0.004199561
2017,Nov,0.015764401
2017,Dec,0.036425828
2018,Jan,-0.019803235
2018,Feb,-0.013034436
2018,Mar,-0.027257404
2018,Apr,0.013466764
2018,May,-0.07405382
2018,Jun,-0.019280285
2018,Jul,0.034225464
2018,Aug,-0.003886585
2018,Sep,-0.052851438
2018,Oct,-0.044744726
2018,Nov,0.049033888
2018,Dec,-0.01433951
2019,Jan,0.033476457
2019,Feb,-0.015001612
2019,Mar,0.044985111
2019,Apr,-0.012568458
2019,May,-0.045158591
2019,Jun,0.029636126
2019,Jul,-0.037138708
2019,Aug,-0.050266606
2019,Sep,0.016411258
