Date,name1,value,parent,name
,Origin2,,,Origin
2/1/2017,6409 TT Equity,0.040263023,Origin,6409 TT 
2/1/2017,4613 JT Equity,0.037261792,Origin,4613 JT 
2/1/2017,MRCO IN Equity,0.031634107,Origin,MRCO IN 
2/1/2017,URC PM Equity,5.47E-05,Origin,URC PM 
2/1/2017,2199 HK Equity,0.024565618,Origin,2199 HK 
2/1/2017,TVSL IN Equity,0.043210452,Origin,TVSL IN 
2/1/2017,EIM IN Equity,0.050091266,Origin,EIM IN 
2/1/2017,MPI PM Equity,0.088402194,Origin,MPI PM 
2/1/2017,KINO IJ Equity,0.00386524,Origin,KINO IJ 
2/1/2017,ALSEA* MM Equity,0.095156701,Origin,ALSEA* MM 
2/1/2017,RAIL3 BZ Equity,0.048216112,Origin,RAIL3 BZ 
2/1/2017,DMC PM Equity,0.022430236,Origin,DMC PM 
2/1/2017,PARAUCO CI Equity,0.003883065,Origin,PARAUCO CI 
2/1/2017,MIKA IJ Equity,0.028679125,Origin,MIKA IJ 
2/1/2017,KLBF IJ Equity,0.033411063,Origin,KLBF IJ 
2/1/2017,PI IN Equity,0.042669998,Origin,PI IN 
2/1/2017,PAG IN Equity,0.073152535,Origin,PAG IN 
2/1/2017,RBK IN Equity,0.023104586,Origin,RBK IN 
2/1/2017,ICT PM Equity,0.089267246,Origin,ICT PM 
2/1/2017,EEM US Equity,0.039451734,Origin,EEM
2/1/2017,ACES IJ Equity,0.003048676,Origin,ACES IJ 
2/1/2017,JPYUSD Curncy,0,Origin,JPYUSD 
2/1/2017,SECB PM Equity,0.074196092,Origin,SECB PM 
2/1/2017,GFREGIO MM Equity,0.030424275,Origin,GFREGIO MM 
2/1/2017,SRCM IN Equity,0.065155477,Origin,SRCM IN 
3/1/2017,KINO IJ Equity,0.003576562,Origin,KINO IJ 
3/1/2017,PARAUCO CI Equity,0.004263131,Origin,PARAUCO CI 
3/1/2017,EIM IN Equity,0.050221102,Origin,EIM IN 
3/1/2017,MRCO IN Equity,0.032242996,Origin,MRCO IN 
3/1/2017,ALSEA* MM Equity,0.094048854,Origin,ALSEA* MM 
3/1/2017,SRCM IN Equity,0.063639455,Origin,SRCM IN 
3/1/2017,GFREGIO MM Equity,0.030708371,Origin,GFREGIO MM 
3/1/2017,URC PM Equity,5.53E-05,Origin,URC PM 
3/1/2017,4613 JT Equity,0.037389519,Origin,4613 JT 
3/1/2017,DMC PM Equity,0.022495584,Origin,DMC PM 
3/1/2017,6409 TT Equity,0.040583006,Origin,6409 TT 
3/1/2017,RAIL3 BZ Equity,0.049332708,Origin,RAIL3 BZ 
3/1/2017,ICT PM Equity,0.089216231,Origin,ICT PM 
3/1/2017,JPYUSD Curncy,0,Origin,JPYUSD 
3/1/2017,MIKA IJ Equity,0.027810706,Origin,MIKA IJ 
3/1/2017,TVSL IN Equity,0.044517307,Origin,TVSL IN 
3/1/2017,EEM US Equity,0.040130055,Origin,EEM
3/1/2017,PAG IN Equity,0.07263995,Origin,PAG IN 
3/1/2017,RBK IN Equity,0.023567874,Origin,RBK IN 
3/1/2017,PI IN Equity,0.042850699,Origin,PI IN 
3/1/2017,ACES IJ Equity,0.002971922,Origin,ACES IJ 
3/1/2017,2199 HK Equity,0.025039308,Origin,2199 HK 
3/1/2017,MPI PM Equity,0.086529764,Origin,MPI PM 
3/1/2017,SECB PM Equity,0.074686401,Origin,SECB PM 
3/1/2017,KLBF IJ Equity,0.033464335,Origin,KLBF IJ 
4/1/2017,SRCM IN Equity,0.063067472,Origin,SRCM IN 
4/1/2017,MIKA IJ Equity,0.028393693,Origin,MIKA IJ 
4/1/2017,2199 HK Equity,0.025217616,Origin,2199 HK 
4/1/2017,SECB PM Equity,0.078191569,Origin,SECB PM 
4/1/2017,ACES IJ Equity,0.002905694,Origin,ACES IJ 
4/1/2017,6409 TT Equity,0.040616416,Origin,6409 TT 
4/1/2017,4613 JT Equity,0.038053299,Origin,4613 JT 
4/1/2017,PARAUCO CI Equity,0.005338395,Origin,PARAUCO CI 
4/1/2017,MPI PM Equity,0.090391276,Origin,MPI PM 
4/1/2017,DMC PM Equity,0.022044285,Origin,DMC PM 
4/1/2017,JPYUSD Curncy,0,Origin,JPYUSD 
4/1/2017,ALSEA* MM Equity,0.091169792,Origin,ALSEA* MM 
4/1/2017,EEM US Equity,0.038231109,Origin,EEM
4/1/2017,KLBF IJ Equity,0.033928065,Origin,KLBF IJ 
4/1/2017,RBK IN Equity,0.023656173,Origin,RBK IN 
4/1/2017,MRCO IN Equity,0.032552026,Origin,MRCO IN 
4/1/2017,PI IN Equity,0.04255791,Origin,PI IN 
4/1/2017,KINO IJ Equity,0.003439052,Origin,KINO IJ 
4/1/2017,TVSL IN Equity,0.043884343,Origin,TVSL IN 
4/1/2017,URC PM Equity,5.47E-05,Origin,URC PM 
4/1/2017,PAG IN Equity,0.072080589,Origin,PAG IN 
4/1/2017,GFREGIO MM Equity,0.029662017,Origin,GFREGIO MM 
4/1/2017,ICT PM Equity,0.08799379,Origin,ICT PM 
4/1/2017,EIM IN Equity,0.049117541,Origin,EIM IN 
4/1/2017,RAIL3 BZ Equity,0.049366566,Origin,RAIL3 BZ 
5/1/2017,GFREGIO MM Equity,0.029106277,Origin,GFREGIO MM 
5/1/2017,KINO IJ Equity,0.003663691,Origin,KINO IJ 
5/1/2017,ICT PM Equity,0.087152232,Origin,ICT PM 
5/1/2017,MIKA IJ Equity,0.027866116,Origin,MIKA IJ 
5/1/2017,EIM IN Equity,0.04863711,Origin,EIM IN 
