Date,Sector,Net
2017-01-02,Index,0.04
2017-01-02,Industrials,0.2
2017-01-02,Cons. Disc.,0.29
2017-01-02,Real Estate,0
2017-01-02,Cons. Staples,0.04
2017-01-02,Financials,0.22
2017-01-02,Materials,0.15
2017-01-02,Currency,0
2017-01-02,Health Care,0.06
2017-01-03,Currency,0
2017-01-03,Cons. Disc.,0.29
2017-01-03,Financials,0.22
2017-01-03,Industrials,0.2
2017-01-03,Health Care,0.06
2017-01-03,Real Estate,0
2017-01-03,Materials,0.14
2017-01-03,Cons. Staples,0.04
2017-01-03,Index,0.04
2017-01-04,Currency,0
2017-01-04,Cons. Disc.,0.28
2017-01-04,Financials,0.22
2017-01-04,Health Care,0.06
2017-01-04,Cons. Staples,0.04
2017-01-04,Materials,0.14
2017-01-04,Real Estate,0.01
2017-01-04,Industrials,0.2
2017-01-04,Index,0.04
2017-01-05,Health Care,0.06
2017-01-05,Cons. Disc.,0.28
2017-01-05,Materials,0.14
2017-01-05,Cons. Staples,0.04
2017-01-05,Index,0.04
2017-01-05,Currency,0
2017-01-05,Financials,0.23
2017-01-05,Real Estate,0.01
2017-01-05,Industrials,0.2
2017-01-06,Cons. Disc.,0.28
2017-01-06,Real Estate,0.01
2017-01-06,Health Care,0.06
2017-01-06,Currency,0
2017-01-06,Financials,0.23
2017-01-06,Materials,0.14
2017-01-06,Index,0.04
2017-01-06,Cons. Staples,0.04
2017-01-06,Industrials,0.2
2017-01-09,Cons. Staples,0.04
2017-01-09,Industrials,0.2
2017-01-09,Financials,0.23
2017-01-09,Currency,0
2017-01-09,Health Care,0.06
2017-01-09,Real Estate,0.01
2017-01-09,Cons. Disc.,0.28
2017-01-09,Materials,0.14
2017-01-09,Index,0.04
2017-01-10,Health Care,0.06
2017-01-10,Cons. Disc.,0.27
2017-01-10,Real Estate,0.01
2017-01-10,Currency,0
2017-01-10,Index,0.04
2017-01-10,Financials,0.23
2017-01-10,Cons. Staples,0.04
2017-01-10,Industrials,0.2
2017-01-10,Materials,0.14
2017-01-11,Industrials,0.2
2017-01-11,Index,0.04
2017-01-11,Currency,0
2017-01-11,Financials,0.22
2017-01-11,Real Estate,0.01
2017-01-11,Cons. Disc.,0.27
2017-01-11,Materials,0.15
2017-01-11,Cons. Staples,0.04
2017-01-11,Health Care,0.06
2017-01-12,Real Estate,0.01
2017-01-12,Cons. Staples,0.04
2017-01-12,Financials,0.22
2017-01-12,Index,0.04
2017-01-12,Cons. Disc.,0.27
2017-01-12,Industrials,0.2
2017-01-12,Materials,0.15
2017-01-12,Currency,0
2017-01-12,Health Care,0.06
2017-01-13,Index,0.04
2017-01-13,Industrials,0.2
2017-01-13,Financials,0.22
2017-01-13,Currency,0
2017-01-13,Real Estate,0.01
2017-01-13,Cons. Staples,0.04
2017-01-13,Health Care,0.06
2017-01-13,Cons. Disc.,0.27
2017-01-13,Materials,0.15
2017-01-16,Currency,0
2017-01-16,Cons. Disc.,0.27
2017-01-16,Financials,0.22
2017-01-16,Industrials,0.2
2017-01-16,Materials,0.15
2017-01-16,Cons. Staples,0.04
2017-01-16,Real Estate,0.01
2017-01-16,Index,0.04
2017-01-16,Health Care,0.06
2017-01-17,Financials,0.22
2017-01-17,Cons. Staples,0.04
2017-01-17,Real Estate,0.01
2017-01-17,Currency,0
2017-01-17,Cons. Disc.,0.27
2017-01-17,Health Care,0.06
2017-01-17,Index,0.04
2017-01-17,Materials,0.15
2017-01-17,Industrials,0.2
2017-01-18,Currency,0
2017-01-18,Health Care,0.06
2017-01-18,Industrials,0.2
2017-01-18,Financials,0.22
2017-01-18,Materials,0.15
2017-01-18,Cons. Disc.,0.27
2017-01-18,Real Estate,0.01
2017-01-18,Index,0.04
2017-01-18,Cons. Staples,0.04
2017-01-19,Real Estate,0.01
2017-01-19,Cons. Staples,0.04
2017-01-19,Industrials,0.2
2017-01-19,Health Care,0.06
2017-01-19,Index,0.04
2017-01-19,Materials,0.15
2017-01-19,Cons. Disc.,0.27
2017-01-19,Financials,0.22
2017-01-19,Currency,0
2017-01-20,Real Estate,0.01
2017-01-20,Cons. Staples,0.04
2017-01-20,Financials,0.22
2017-01-20,Cons. Disc.,0.27
2017-01-20,Index,0.04
2017-01-20,Health Care,0.06
2017-01-20,Industrials,0.21
2017-01-20,Materials,0.15
2017-01-20,Currency,0
2017-01-23,Real Estate,0.01
2017-01-23,Cons. Staples,0.04
2017-01-23,Cons. Disc.,0.27
2017-01-23,Industrials,0.21
2017-01-23,Currency,0
2017-01-23,Financials,0.23
2017-01-23,Materials,0.15
2017-01-23,Index,0.04
2017-01-23,Health Care,0.06
2017-01-24,Health Care,0.06
2017-01-24,Industrials,0.2
2017-01-24,Real Estate,0.01
2017-01-24,Materials,0.15
2017-01-24,Cons. Staples,0.04
2017-01-24,Currency,0
2017-01-24,Financials,0.22
2017-01-24,Cons. Disc.,0.27
2017-01-24,Index,0.04
2017-01-25,Index,0.04
2017-01-25,Health Care,0.06
2017-01-25,Materials,0.15
2017-01-25,Cons. Staples,0.04
2017-01-25,Cons. Disc.,0.27
2017-01-25,Currency,0
2017-01-25,Industrials,0.2
2017-01-25,Financials,0.22
2017-01-25,Real Estate,0.01
2017-01-26,Real Estate,0.01
2017-01-26,Health Care,0.06
2017-01-26,Materials,0.15
2017-01-26,Cons. Disc.,0.27
2017-01-26,Financials,0.22
2017-01-26,Index,0.04
2017-01-26,Currency,0
2017-01-26,Industrials,0.2
2017-01-26,Cons. Staples,0.04
2017-01-27,Health Care,0.06
2017-01-27,Real Estate,0.01
2017-01-27,Cons. Disc.,0.27
2017-01-27,Index,0.04
2017-01-27,Industrials,0.2
2017-01-27,Cons. Staples,0.04
2017-01-27,Financials,0.22
2017-01-27,Currency,0
2017-01-27,Materials,0.15
2017-01-30,Real Estate,0.01
2017-01-30,Cons. Staples,0.04
2017-01-30,Materials,0.15
2017-01-30,Financials,0.22
2017-01-30,Health Care,0.06
2017-01-30,Industrials,0.2
2017-01-30,Cons. Disc.,0.27
2017-01-30,Index,0.04
2017-01-30,Currency,0
2017-01-31,Industrials,0.2
2017-01-31,Financials,0.22
2017-01-31,Materials,0.15
2017-01-31,Health Care,0.06
2017-01-31,Real Estate,0.01
2017-01-31,Currency,0
2017-01-31,Index,0.04
2017-01-31,Cons. Disc.,0.27
2017-01-31,Cons. Staples,0.04
2017-02-01,Industrials,0.2
2017-02-01,Index,0.04
2017-02-01,Materials,0.15
2017-02-01,Health Care,0.06
2017-02-01,Cons. Disc.,0.27
2017-02-01,Cons. Staples,0.04
2017-02-01,Real Estate,0.01
2017-02-01,Currency,0
2017-02-01,Financials,0.22
2017-02-02,Index,0.05
2017-02-02,Materials,0.15
2017-02-02,Real Estate,0.01
2017-02-02,Currency,0
2017-02-02,Financials,0.22
2017-02-02,Health Care,0.06
2017-02-02,Industrials,0.2
2017-02-02,Cons. Staples,0.04
2017-02-02,Cons. Disc.,0.26
2017-02-03,Industrials,0.2
2017-02-03,Materials,0.15
2017-02-03,Financials,0.21
2017-02-03,Currency,0
2017-02-03,Real Estate,0.01
2017-02-03,Cons. Staples,0.04
2017-02-03,Health Care,0.06
2017-02-03,Index,0.05
2017-02-03,Cons. Disc.,0.26
2017-02-06,Index,0.05
2017-02-06,Health Care,0.06
2017-02-06,Currency,0
2017-02-06,Real Estate,0.01
2017-02-06,Materials,0.15
2017-02-06,Financials,0.21
2017-02-06,Cons. Disc.,0.26
2017-02-06,Cons. Staples,0.04
2017-02-06,Industrials,0.2
2017-02-07,Health Care,0.06
2017-02-07,Index,0.05
2017-02-07,Industrials,0.2
2017-02-07,Currency,0
2017-02-07,Cons. Disc.,0.26
2017-02-07,Materials,0.15
2017-02-07,Cons. Staples,0.04
2017-02-07,Real Estate,0.01
2017-02-07,Financials,0.21
2017-02-08,Industrials,0.2
2017-02-08,Currency,0
2017-02-08,Health Care,0.06
2017-02-08,Cons. Disc.,0.26
2017-02-08,Financials,0.21
2017-02-08,Cons. Staples,0.04
2017-02-08,Index,0.05
2017-02-08,Materials,0.15
2017-02-08,Real Estate,0.01
2017-02-09,Cons. Staples,0.04
2017-02-09,Health Care,0.06
2017-02-09,Cons. Disc.,0.27
2017-02-09,Currency,0
2017-02-09,Real Estate,0.01
2017-02-09,Industrials,0.2
2017-02-09,Materials,0.15
2017-02-09,Financials,0.21
2017-02-09,Index,0.05
2017-02-10,Health Care,0.06
2017-02-10,Industrials,0.2
2017-02-10,Cons. Staples,0.04
2017-02-10,Financials,0.21
2017-02-10,Currency,0
2017-02-10,Cons. Disc.,0.27
2017-02-10,Materials,0.15
2017-02-10,Real Estate,0.01
2017-02-10,Index,0.05
2017-02-13,Currency,0
2017-02-13,Cons. Disc.,0.27
2017-02-13,Index,0.05
2017-02-13,Industrials,0.2
2017-02-13,Health Care,0.06
2017-02-13,Financials,0.21
2017-02-13,Cons. Staples,0.04
2017-02-13,Materials,0.15
2017-02-13,Real Estate,0.01
2017-02-14,Financials,0.21
2017-02-14,Index,0.05
2017-02-14,Real Estate,0.01
2017-02-14,Materials,0.15
2017-02-14,Currency,0
2017-02-14,Industrials,0.2
2017-02-14,Health Care,0.06
2017-02-14,Cons. Disc.,0.27
2017-02-14,Cons. Staples,0.04
2017-02-15,Index,0.05
2017-02-15,Currency,0
2017-02-15,Materials,0.15
2017-02-15,Industrials,0.21
2017-02-15,Health Care,0.06
2017-02-15,Cons. Staples,0.04
2017-02-15,Financials,0.21
2017-02-15,Cons. Disc.,0.27
2017-02-15,Real Estate,0.01
2017-02-16,Industrials,0.2
2017-02-16,Index,0.05
2017-02-16,Health Care,0.06
2017-02-16,Cons. Staples,0.04
2017-02-16,Materials,0.14
2017-02-16,Currency,0
2017-02-16,Real Estate,0.01
2017-02-16,Cons. Disc.,0.27
2017-02-16,Financials,0.21
2017-02-17,Real Estate,0.01
2017-02-17,Financials,0.21
2017-02-17,Health Care,0.06
2017-02-17,Index,0.05
2017-02-17,Industrials,0.2
2017-02-17,Cons. Staples,0.04
2017-02-17,Currency,0
2017-02-17,Cons. Disc.,0.27
2017-02-17,Materials,0.14
2017-02-20,Industrials,0.21
2017-02-20,Index,0.05
2017-02-20,Cons. Disc.,0.27
2017-02-20,Cons. Staples,0.04
2017-02-20,Materials,0.15
2017-02-20,Financials,0.21
2017-02-20,Real Estate,0.01
2017-02-20,Currency,0
2017-02-20,Health Care,0.06
2017-02-21,Materials,0.14
2017-02-21,Currency,0
2017-02-21,Real Estate,0.01
2017-02-21,Cons. Disc.,0.27
2017-02-21,Industrials,0.2
2017-02-21,Health Care,0.06
2017-02-21,Index,0.05
2017-02-21,Financials,0.21
2017-02-21,Cons. Staples,0.04
2017-02-22,Industrials,0.2
2017-02-22,Materials,0.15
2017-02-22,Currency,0
2017-02-22,Cons. Disc.,0.27
2017-02-22,Index,0.05
2017-02-22,Health Care,0.07
2017-02-22,Financials,0.21
2017-02-22,Cons. Staples,0.04
2017-02-22,Real Estate,0.01
2017-02-23,Cons. Disc.,0.27
2017-02-23,Financials,0.21
2017-02-23,Currency,0
2017-02-23,Cons. Staples,0.04
2017-02-23,Index,0.05
2017-02-23,Industrials,0.2
2017-02-23,Health Care,0.07
2017-02-23,Real Estate,0.01
2017-02-23,Materials,0.15
2017-02-24,Financials,0.21
2017-02-24,Cons. Staples,0.04
2017-02-24,Real Estate,0.01
2017-02-24,Health Care,0.07
2017-02-24,Cons. Disc.,0.27
2017-02-24,Industrials,0.2
2017-02-24,Materials,0.15
2017-02-24,Index,0.05
2017-02-24,Currency,0
2017-02-27,Currency,0
2017-02-27,Materials,0.15
2017-02-27,Cons. Staples,0.04
2017-02-27,Real Estate,0.01
2017-02-27,Health Care,0.07
2017-02-27,Financials,0.21
2017-02-27,Cons. Disc.,0.26
2017-02-27,Industrials,0.2
2017-02-27,Index,0.05
2017-02-28,Health Care,0.07
2017-02-28,Currency,0
2017-02-28,Cons. Staples,0.04
2017-02-28,Industrials,0.2
2017-02-28,Financials,0.21
2017-02-28,Materials,0.15
2017-02-28,Cons. Disc.,0.26
2017-02-28,Index,0.05
2017-02-28,Real Estate,0.01
2017-03-01,Financials,0.21
2017-03-01,Materials,0.15
2017-03-01,Cons. Staples,0.04
2017-03-01,Real Estate,0.01
2017-03-01,Currency,0
2017-03-01,Health Care,0.07
2017-03-01,Industrials,0.2
2017-03-01,Cons. Disc.,0.26
2017-03-01,Index,0.05
2017-03-02,Index,0.05
2017-03-02,Financials,0.21
2017-03-02,Health Care,0.07
2017-03-02,Currency,0
2017-03-02,Real Estate,0.01
2017-03-02,Cons. Disc.,0.26
2017-03-02,Industrials,0.2
2017-03-02,Materials,0.14
2017-03-02,Cons. Staples,0.04
2017-03-03,Health Care,0.07
2017-03-03,Index,0.05
2017-03-03,Currency,0
2017-03-03,Materials,0.14
2017-03-03,Cons. Staples,0.04
2017-03-03,Real Estate,0.02
2017-03-03,Financials,0.21
2017-03-03,Cons. Disc.,0.26
2017-03-03,Industrials,0.2
2017-03-06,Industrials,0.2
2017-03-06,Cons. Staples,0.04
2017-03-06,Cons. Disc.,0.26
2017-03-06,Materials,0.14
2017-03-06,Financials,0.21
2017-03-06,Health Care,0.07
2017-03-06,Index,0.06
2017-03-06,Real Estate,0.02
2017-03-06,Currency,0
2017-03-07,Real Estate,0.02
2017-03-07,Cons. Disc.,0.26
2017-03-07,Financials,0.21
2017-03-07,Currency,0
2017-03-07,Industrials,0.2
2017-03-07,Cons. Staples,0.04
2017-03-07,Materials,0.14
2017-03-07,Health Care,0.07
2017-03-07,Index,0.06
2017-03-08,Currency,0
2017-03-08,Health Care,0.07
2017-03-08,Index,0.06
2017-03-08,Financials,0.21
2017-03-08,Real Estate,0.02
2017-03-08,Cons. Staples,0.04
2017-03-08,Industrials,0.2
2017-03-08,Materials,0.14
2017-03-08,Cons. Disc.,0.26
2017-03-09,Index,0.06
2017-03-09,Materials,0.15
2017-03-09,Industrials,0.19
2017-03-09,Cons. Disc.,0.26
2017-03-09,Real Estate,0.02
2017-03-09,Financials,0.2
2017-03-09,Health Care,0.07
2017-03-09,Cons. Staples,0.04
2017-03-09,Currency,0
2017-03-10,Health Care,0.07
2017-03-10,Financials,0.2
2017-03-10,Real Estate,0.02
2017-03-10,Cons. Disc.,0.25
2017-03-10,Currency,0
2017-03-10,Index,0.06
2017-03-10,Industrials,0.2
2017-03-10,Cons. Staples,0.04
2017-03-10,Materials,0.15
2017-03-13,Industrials,0.2
2017-03-13,Currency,0
2017-03-13,Cons. Disc.,0.25
2017-03-13,Index,0.06
2017-03-13,Financials,0.2
2017-03-13,Health Care,0.07
2017-03-13,Cons. Staples,0.04
2017-03-13,Real Estate,0.02
2017-03-13,Materials,0.15
2017-03-14,Industrials,0.2
2017-03-14,Index,0.06
2017-03-14,Health Care,0.07
2017-03-14,Real Estate,0.02
2017-03-14,Materials,0.15
2017-03-14,Currency,0
2017-03-14,Cons. Disc.,0.25
2017-03-14,Cons. Staples,0.04
2017-03-14,Financials,0.2
2017-03-15,Currency,0
2017-03-15,Real Estate,0.02
2017-03-15,Industrials,0.2
2017-03-15,Cons. Staples,0.04
2017-03-15,Index,0.06
2017-03-15,Materials,0.15
2017-03-15,Financials,0.2
2017-03-15,Cons. Disc.,0.25
2017-03-15,Health Care,0.07
2017-03-16,Financials,0.2
2017-03-16,Health Care,0.07
2017-03-16,Index,0.06
2017-03-16,Cons. Disc.,0.25
2017-03-16,Cons. Staples,0.04
2017-03-16,Industrials,0.2
2017-03-16,Materials,0.15
2017-03-16,Real Estate,0.02
2017-03-16,Currency,0
2017-03-17,Industrials,0.2
2017-03-17,Cons. Disc.,0.26
2017-03-17,Index,0.06
2017-03-17,Cons. Staples,0.04
2017-03-17,Health Care,0.07
2017-03-17,Materials,0.15
2017-03-17,Financials,0.2
2017-03-17,Real Estate,0.02
2017-03-17,Currency,0
2017-03-20,Index,0.06
2017-03-20,Financials,0.2
2017-03-20,Currency,0
2017-03-20,Cons. Staples,0.04
2017-03-20,Health Care,0.07
2017-03-20,Materials,0.15
2017-03-20,Industrials,0.2
2017-03-20,Cons. Disc.,0.26
2017-03-20,Real Estate,0.02
2017-03-21,Cons. Disc.,0.26
2017-03-21,Health Care,0.07
2017-03-21,Industrials,0.2
2017-03-21,Cons. Staples,0.04
2017-03-21,Currency,0
2017-03-21,Index,0.06
2017-03-21,Financials,0.2
2017-03-21,Materials,0.15
2017-03-21,Real Estate,0.02
2017-03-22,Cons. Staples,0.04
2017-03-22,Cons. Disc.,0.26
2017-03-22,Index,0.06
2017-03-22,Materials,0.15
2017-03-22,Financials,0.2
2017-03-22,Real Estate,0.02
2017-03-22,Currency,0
2017-03-22,Industrials,0.2
2017-03-22,Health Care,0.07
2017-03-23,Health Care,0.07
2017-03-23,Materials,0.15
2017-03-23,Real Estate,0.02
2017-03-23,Cons. Staples,0.04
2017-03-23,Cons. Disc.,0.26
2017-03-23,Index,0.05
2017-03-23,Financials,0.2
2017-03-23,Currency,0
2017-03-23,Industrials,0.2
2017-03-24,Currency,0
2017-03-24,Cons. Disc.,0.26
2017-03-24,Index,0.05
2017-03-24,Financials,0.2
2017-03-24,Cons. Staples,0.04
2017-03-24,Industrials,0.2
2017-03-24,Real Estate,0.02
2017-03-24,Health Care,0.07
2017-03-24,Materials,0.15
2017-03-27,Materials,0.15
2017-03-27,Cons. Staples,0.04
2017-03-27,Industrials,0.2
2017-03-27,Health Care,0.07
2017-03-27,Currency,0
2017-03-27,Index,0.05
2017-03-27,Real Estate,0.02
2017-03-27,Financials,0.2
2017-03-27,Cons. Disc.,0.26
2017-03-28,Health Care,0.07
2017-03-28,Index,0.05
2017-03-28,Currency,0
2017-03-28,Real Estate,0.02
2017-03-28,Financials,0.2
2017-03-28,Materials,0.15
2017-03-28,Cons. Staples,0.04
2017-03-28,Industrials,0.19
2017-03-28,Cons. Disc.,0.26
2017-03-29,Financials,0.2
2017-03-29,Real Estate,0.02
2017-03-29,Materials,0.15
2017-03-29,Cons. Staples,0.04
2017-03-29,Industrials,0.19
2017-03-29,Index,0.05
2017-03-29,Cons. Disc.,0.26
2017-03-29,Currency,0
2017-03-29,Health Care,0.07
2017-03-30,Index,0.05
2017-03-30,Materials,0.15
2017-03-30,Health Care,0.07
2017-03-30,Currency,0
2017-03-30,Cons. Staples,0.04
2017-03-30,Financials,0.2
2017-03-30,Real Estate,0.02
2017-03-30,Cons. Disc.,0.26
2017-03-30,Industrials,0.19
2017-03-31,Index,0.05
2017-03-31,Cons. Disc.,0.26
2017-03-31,Materials,0.15
2017-03-31,Real Estate,0.02
2017-03-31,Cons. Staples,0.04
2017-03-31,Industrials,0.19
2017-03-31,Financials,0.2
2017-03-31,Health Care,0.07
2017-03-31,Currency,0
2017-04-03,Index,0.06
2017-04-03,Currency,0
2017-04-03,Cons. Staples,0.04
2017-04-03,Real Estate,0.02
2017-04-03,Cons. Disc.,0.26
2017-04-03,Industrials,0.19
2017-04-03,Financials,0.2
2017-04-03,Health Care,0.07
2017-04-03,Materials,0.15
2017-04-04,Cons. Staples,0.04
2017-04-04,Cons. Disc.,0.26
2017-04-04,Currency,0
2017-04-04,Health Care,0.07
2017-04-04,Index,0.06
2017-04-04,Real Estate,0.02
2017-04-04,Financials,0.2
2017-04-04,Materials,0.15
2017-04-04,Industrials,0.19
2017-04-05,Cons. Staples,0.04
2017-04-05,Materials,0.15
2017-04-05,Real Estate,0.02
2017-04-05,Health Care,0.07
2017-04-05,Cons. Disc.,0.26
2017-04-05,Index,0.06
2017-04-05,Industrials,0.19
2017-04-05,Financials,0.2
2017-04-05,Currency,0
2017-04-06,Materials,0.15
2017-04-06,Industrials,0.18
2017-04-06,Currency,0
2017-04-06,Health Care,0.07
2017-04-06,Cons. Disc.,0.26
2017-04-06,Financials,0.21
2017-04-06,Real Estate,0.02
2017-04-06,Cons. Staples,0.04
2017-04-06,Index,0.06
2017-04-07,Cons. Staples,0.04
2017-04-07,Industrials,0.18
2017-04-07,Index,0.06
2017-04-07,Cons. Disc.,0.26
2017-04-07,Financials,0.21
2017-04-07,Real Estate,0.02
2017-04-07,Currency,0
2017-04-07,Health Care,0.07
2017-04-07,Materials,0.15
2017-04-10,Currency,0
2017-04-10,Financials,0.21
2017-04-10,Industrials,0.18
2017-04-10,Cons. Staples,0.04
2017-04-10,Health Care,0.07
2017-04-10,Real Estate,0.02
2017-04-10,Cons. Disc.,0.26
2017-04-10,Materials,0.15
2017-04-10,Index,0.06
2017-04-11,Currency,0
2017-04-11,Cons. Disc.,0.26
2017-04-11,Health Care,0.07
2017-04-11,Real Estate,0.02
2017-04-11,Financials,0.21
2017-04-11,Industrials,0.18
2017-04-11,Materials,0.15
2017-04-11,Index,0.06
2017-04-11,Cons. Staples,0.04
2017-04-12,Cons. Disc.,0.26
2017-04-12,Cons. Staples,0.05
2017-04-12,Financials,0.21
2017-04-12,Currency,0
2017-04-12,Materials,0.15
2017-04-12,Health Care,0.07
2017-04-12,Industrials,0.18
2017-04-12,Index,0.06
2017-04-12,Real Estate,0.02
2017-04-13,Real Estate,0.02
2017-04-13,Industrials,0.18
2017-04-13,Currency,0
2017-04-13,Materials,0.15
2017-04-13,Financials,0.21
2017-04-13,Health Care,0.07
2017-04-13,Cons. Disc.,0.26
2017-04-13,Cons. Staples,0.05
2017-04-13,Index,0.06
2017-04-14,Currency,0
2017-04-14,Health Care,0.07
2017-04-14,Index,0.06
2017-04-14,Cons. Disc.,0.26
