Trade_Dt,a,b,c
02-01-2017,-0.0008,0.0266,-0.02664
03-01-2017,-0.005,0.0267,-0.0267
04-01-2017,0.0128,0.0269,-0.0269
05-01-2017,0.0165,0.0274,-0.02743
06-01-2017,0.0033,0.0271,-0.02711
09-01-2017,-0.0099,0.0273,-0.02735
10-01-2017,0.0016,0.0272,-0.02719
11-01-2017,0.0032,0.0271,-0.02705
12-01-2017,0.0035,0.0272,-0.02721
13-01-2017,-0.0054,0.027,-0.02697
16-01-2017,-0.0126,0.0267,-0.02667
17-01-2017,-0.0012,0.0266,-0.02659
18-01-2017,0.005,0.0267,-0.02673
19-01-2017,0.0024,0.0267,-0.02674
20-01-2017,0.0012,0.0266,-0.02663
23-01-2017,0.0079,0.027,-0.02696
24-01-2017,0.0184,0.0275,-0.02754
25-01-2017,0.0055,0.0276,-0.02757
26-01-2017,0.0024,0.0276,-0.02757
27-01-2017,0.005,0.0275,-0.02752
30-01-2017,-0.0063,0.0271,-0.02711
31-01-2017,0.0002,0.0269,-0.02693
01-02-2017,0.0107,0.0266,-0.02662
02-02-2017,-0.0034,0.0267,-0.02667
03-02-2017,0,0.0264,-0.02643
06-02-2017,0.0073,0.0259,-0.02592
07-02-2017,-0.0019,0.024,-0.024
08-02-2017,0.002,0.0224,-0.02239
09-02-2017,0.0001,0.0168,-0.01676
10-02-2017,0.0086,0.0168,-0.01682
13-02-2017,0.0026,0.0166,-0.01664
14-02-2017,-0.0039,0.0167,-0.01671
15-02-2017,0.0024,0.0167,-0.0167
16-02-2017,0.0025,0.0167,-0.01668
17-02-2017,-0.0009,0.0166,-0.01657
20-02-2017,0.0021,0.0162,-0.01624
21-02-2017,0.002,0.0158,-0.01579
22-02-2017,-0.0024,0.0158,-0.01577
23-02-2017,0.0026,0.0158,-0.01575
24-02-2017,-0.0032,0.0157,-0.01566
27-02-2017,0.0043,0.0157,-0.01571
28-02-2017,-0.0045,0.0157,-0.01575
01-03-2017,-0.0018,0.0151,-0.01515
02-03-2017,-0.0058,0.0152,-0.01522
03-03-2017,0.0002,0.0152,-0.01517
06-03-2017,0.007,0.0154,-0.01539
07-03-2017,-0.0015,0.0154,-0.01537
08-03-2017,-0.0075,0.0153,-0.01532
09-03-2017,-0.0031,0.0153,-0.01535
10-03-2017,0.007,0.0153,-0.01526
13-03-2017,0.0054,0.0149,-0.0149
14-03-2017,0.0121,0.015,-0.01501
15-03-2017,0.0133,0.0149,-0.01494
16-03-2017,0.0098,0.0152,-0.01521
17-03-2017,0.0085,0.0152,-0.01516
20-03-2017,-0.0027,0.015,-0.01502
21-03-2017,0.002,0.0151,-0.0151
22-03-2017,-0.0109,0.0152,-0.01516
23-03-2017,0.0028,0.0152,-0.01521
24-03-2017,0.0064,0.0151,-0.01511
27-03-2017,-0.0011,0.0147,-0.01472
28-03-2017,0.0009,0.0145,-0.01454
29-03-2017,0.0065,0.0138,-0.01375
30-03-2017,0.0027,0.0137,-0.01371
31-03-2017,-0.0018,0.0137,-0.01372
03-04-2017,0.0057,0.0136,-0.01361
04-04-2017,0.0013,0.0134,-0.01341
05-04-2017,0.0117,0.0134,-0.01344
06-04-2017,-0.0006,0.0134,-0.01344
07-04-2017,0.0108,0.0136,-0.01358
10-04-2017,0.0009,0.0134,-0.01337
11-04-2017,-0.0008,0.0134,-0.01338
12-04-2017,0.0023,0.0133,-0.01327
13-04-2017,-0.0036,0.0131,-0.01311
14-04-2017,-0.0006,0.0123,-0.0123
17-04-2017,-0.0023,0.012,-0.01202
18-04-2017,-0.0013,0.012,-0.01202
19-04-2017,-0.0006,0.012,-0.012
20-04-2017,0.0044,0.012,-0.01203
21-04-2017,-0.0005,0.012,-0.01198
24-04-2017,0.0116,0.0114,-0.01137
25-04-2017,0.0091,0.0114,-0.01142
26-04-2017,0.0048,0.0115,-0.0115
27-04-2017,-0.0045,0.0117,-0.01167
28-04-2017,0.0019,0.012,-0.01205
01-05-2017,0.0009,0.0121,-0.01213
02-05-2017,0.0088,0.0121,-0.0121
03-05-2017,-0.0012,0.0121,-0.01213
04-05-2017,-0.0065,0.0124,-0.01238
05-05-2017,-0.001,0.0123,-0.01231
08-05-2017,0.0039,0.0123,-0.01235
09-05-2017,0.0051,0.0124,-0.01236
10-05-2017,0.0038,0.0126,-0.01256
11-05-2017,0.0113,0.0123,-0.01235
12-05-2017,0.0034,0.0124,-0.01236
15-05-2017,0.0112,0.0126,-0.01256
16-05-2017,-0.0013,0.0126,-0.01262
17-05-2017,-0.0083,0.0128,-0.01281
18-05-2017,-0.0307,0.0164,-0.01642
19-05-2017,0.0105,0.0168,-0.01681
22-05-2017,-0.009,0.017,-0.017
23-05-2017,-0.0057,0.0172,-0.01716
24-05-2017,-0.0003,0.0174,-0.0174
25-05-2017,0.0074,0.0175,-0.01753
26-05-2017,0.0044,0.0176,-0.01763
29-05-2017,-0.0014,0.0177,-0.01768
30-05-2017,-0.0072,0.0177,-0.01768
31-05-2017,0.0028,0.0176,-0.01759
01-06-2017,0.0033,0.0176,-0.01755
02-06-2017,0.0033,0.0174,-0.01735
05-06-2017,0.0077,0.0171,-0.01713
06-06-2017,-0.0057,0.017,-0.01704
07-06-2017,0.0017,0.0171,-0.01708
