Trade_Dt,P&L(%)
2-Jan-17,-0.0008
3-Jan-17,-0.005
4-Jan-17,0.0128
5-Jan-17,0.0165
6-Jan-17,0.0033
9-Jan-17,-0.0099
10-Jan-17,0.0016
11-Jan-17,0.0032
12-Jan-17,0.0035
13-Jan-17,-0.0054
16-Jan-17,-0.0126
17-Jan-17,-0.0012
18-Jan-17,0.005
19-Jan-17,0.0024
20-Jan-17,0.0012
23-Jan-17,0.0079
24-Jan-17,0.0184
25-Jan-17,0.0055
26-Jan-17,0.0024
27-Jan-17,0.005
30-Jan-17,-0.0063
31-Jan-17,0.0002
1-Feb-17,0.0107
2-Feb-17,-0.0034
3-Feb-17,0
6-Feb-17,0.0073
7-Feb-17,-0.0019
8-Feb-17,0.002
9-Feb-17,0.0001
10-Feb-17,0.0086
13-Feb-17,0.0026
14-Feb-17,-0.0039
15-Feb-17,0.0024
16-Feb-17,0.0025
17-Feb-17,-0.0009
20-Feb-17,0.0021
21-Feb-17,0.002
22-Feb-17,-0.0024
23-Feb-17,0.0026
24-Feb-17,-0.0032
27-Feb-17,0.0043
28-Feb-17,-0.0045
1-Mar-17,-0.0018
2-Mar-17,-0.0058
3-Mar-17,0.0002
6-Mar-17,0.007
7-Mar-17,-0.0015
8-Mar-17,-0.0075
9-Mar-17,-0.0031
10-Mar-17,0.007
13-Mar-17,0.0054
14-Mar-17,0.0121
15-Mar-17,0.0133
16-Mar-17,0.0098
17-Mar-17,0.0085
20-Mar-17,-0.0027
21-Mar-17,0.002
22-Mar-17,-0.0109
23-Mar-17,0.0028
24-Mar-17,0.0064
27-Mar-17,-0.0011
28-Mar-17,0.0009
29-Mar-17,0.0065
30-Mar-17,0.0027
31-Mar-17,-0.0018
3-Apr-17,0.0057
4-Apr-17,0.0013
5-Apr-17,0.0117
6-Apr-17,-0.0006
7-Apr-17,0.0108
10-Apr-17,0.0009
11-Apr-17,-0.0008
12-Apr-17,0.0023
13-Apr-17,-0.0036
14-Apr-17,-0.0006
17-Apr-17,-0.0023
18-Apr-17,-0.0013
19-Apr-17,-0.0006
20-Apr-17,0.0044
21-Apr-17,-0.0005
24-Apr-17,0.0116
25-Apr-17,0.0091
26-Apr-17,0.0048
27-Apr-17,-0.0045
28-Apr-17,0.0019
1-May-17,0.0009
2-May-17,0.0088
3-May-17,-0.0012
4-May-17,-0.0065
5-May-17,-0.001
8-May-17,0.0039
9-May-17,0.0051
10-May-17,0.0038
11-May-17,0.0113
12-May-17,0.0034
15-May-17,0.0112
16-May-17,-0.0013
17-May-17,-0.0083
18-May-17,-0.0307
19-May-17,0.0105
22-May-17,-0.009
23-May-17,-0.0057
24-May-17,-0.0003
25-May-17,0.0074
26-May-17,0.0044
29-May-17,-0.0014
30-May-17,-0.0072
31-May-17,0.0028
1-Jun-17,0.0033
2-Jun-17,0.0033
5-Jun-17,0.0077
6-Jun-17,-0.0057
7-Jun-17,0.0017
8-Jun-17,0.0084
9-Jun-17,0.0041
12-Jun-17,-0.003
13-Jun-17,0.0058
14-Jun-17,0.0057
15-Jun-17,-0.0026
16-Jun-17,0.0003
19-Jun-17,-0.0005
20-Jun-17,-0.0073
21-Jun-17,-0.0035
22-Jun-17,0.0019
23-Jun-17,-0.0057
26-Jun-17,0.0045
27-Jun-17,0.0002
28-Jun-17,0.002
29-Jun-17,-0.0019
30-Jun-17,0.0039
3-Jul-17,0.0094
4-Jul-17,-0.0025
5-Jul-17,0.0036
6-Jul-17,0.004
7-Jul-17,0.0027
10-Jul-17,-0.0012
11-Jul-17,0.0015
12-Jul-17,0.0088
13-Jul-17,0.0099
14-Jul-17,0.0014
17-Jul-17,-0.0008
18-Jul-17,0.0065
19-Jul-17,0.001
20-Jul-17,-0.0045
21-Jul-17,0.0049
24-Jul-17,0.0005
25-Jul-17,0.0028
26-Jul-17,0.0026
27-Jul-17,-0.0011
28-Jul-17,0.0014
31-Jul-17,0.0086
1-Aug-17,-0.0013
2-Aug-17,0.0065
3-Aug-17,-0.0047
4-Aug-17,0.0029
7-Aug-17,0.0059
8-Aug-17,0
9-Aug-17,-0.0098
10-Aug-17,-0.0161
11-Aug-17,-0.0053
14-Aug-17,0.0072
15-Aug-17,-0.0018
16-Aug-17,0.0104
17-Aug-17,-0.002
18-Aug-17,0.0039
21-Aug-17,-0.0032
22-Aug-17,0.0021
23-Aug-17,0.0007
24-Aug-17,-0.0005
25-Aug-17,-0.0016
28-Aug-17,0.0037
29-Aug-17,-0.0047
30-Aug-17,0.007
31-Aug-17,-0.0009
1-Sep-17,-0.0003
4-Sep-17,-0.0026
5-Sep-17,0.0011
6-Sep-17,0.0009
7-Sep-17,0.0092
8-Sep-17,0.0055
11-Sep-17,0.0041
12-Sep-17,0.0007
13-Sep-17,-0.0021
14-Sep-17,0.0023
15-Sep-17,0.0035
18-Sep-17,0.008
19-Sep-17,-0.0005
20-Sep-17,-0.0027
21-Sep-17,-0.005
22-Sep-17,0.0016
25-Sep-17,-0.0113
26-Sep-17,-0.0005
27-Sep-17,-0.008
28-Sep-17,0.0004
29-Sep-17,0.0091
2-Oct-17,0.0055
3-Oct-17,0.0067
4-Oct-17,0.0035
5-Oct-17,-0.0073
6-Oct-17,-0.0012
9-Oct-17,-0.0011
10-Oct-17,0.0054
11-Oct-17,-0.003
12-Oct-17,0.0019
13-Oct-17,0.0023
16-Oct-17,0.0039
17-Oct-17,-0.004
18-Oct-17,-0.003
19-Oct-17,-0.004
20-Oct-17,0.0006
23-Oct-17,0.0002
24-Oct-17,-0.0014
25-Oct-17,0.0013
26-Oct-17,-0.0084
27-Oct-17,0.0041
30-Oct-17,0.0004
31-Oct-17,0.002
1-Nov-17,-0.0016
2-Nov-17,0.0044
3-Nov-17,-0.0091
6-Nov-17,0.0078
7-Nov-17,-0.009
8-Nov-17,0.0072
9-Nov-17,0.0024
10-Nov-17,-0.0141
13-Nov-17,-0.0023
14-Nov-17,-0.006
15-Nov-17,0.0058
16-Nov-17,0.0117
17-Nov-17,0.0085
20-Nov-17,-0.0046
21-Nov-17,0.0094
22-Nov-17,0.0051
23-Nov-17,0.0016
24-Nov-17,0.0018
27-Nov-17,0.0062
28-Nov-17,0.0002
29-Nov-17,-0.0018
