Trade_Dt,name,value
5-31-2010,Alpha,0.091818344
5-31-2010,Market,0.018353174
5-31-2010,Size,0.048871588
5-31-2010,Quality,0.066644781
5-31-2010,Momentum,0.347276376
5-31-2010,Growth,-0.014061915
5-31-2010,Capex,-0.020873582
6-30-2010,Alpha,0.521229554
6-30-2010,Market,-0.012460872
6-30-2010,Size,0.046432627
6-30-2010,Quality,-0.028862934
6-30-2010,Momentum,0.186166624
6-30-2010,Growth,-0.053954853
6-30-2010,Capex,-0.03651329
7-31-2010,Alpha,0.511583421
7-31-2010,Market,0.001321311
7-31-2010,Size,0.018694971
7-31-2010,Quality,-0.009176659
7-31-2010,Momentum,0.214639519
7-31-2010,Growth,-0.010008373
7-31-2010,Capex,0.029790183
8-31-2010,Alpha,0.539170058
8-31-2010,Market,-0.000728327
8-31-2010,Size,0.025138817
8-31-2010,Quality,-0.010970939
8-31-2010,Momentum,0.312242463
8-31-2010,Growth,-0.037951988
8-31-2010,Capex,-0.100351853
9-30-2010,Alpha,0.721684852
9-30-2010,Market,0.000505733
9-30-2010,Size,0.026385661
9-30-2010,Quality,-0.001240143
9-30-2010,Momentum,0.343399211
9-30-2010,Growth,-0.057991476
9-30-2010,Capex,-0.027352671
10-31-2010,Alpha,0.969489198
10-31-2010,Market,0.034518839
10-31-2010,Size,0.019208403
10-31-2010,Quality,0.026107883
10-31-2010,Momentum,0.258022784
10-31-2010,Growth,-0.055951379
10-31-2010,Capex,-0.025645374
11-30-2010,Alpha,1.152798631
11-30-2010,Market,0.044781309
11-30-2010,Size,0.042200462
11-30-2010,Quality,0.048873643
11-30-2010,Momentum,0.095552395
11-30-2010,Growth,-0.087384507
11-30-2010,Capex,-0.007081826
12-31-2010,Alpha,1.110565215
12-31-2010,Market,0.057983781
12-31-2010,Size,0.016809843
12-31-2010,Quality,0.050969243
12-31-2010,Momentum,0.165718938
12-31-2010,Growth,-0.067384313
12-31-2010,Capex,0.009797845
1-31-2011,Alpha,0.675387263
1-31-2011,Market,0.142787533
1-31-2011,Size,0.024083418
1-31-2011,Quality,0.03113701
1-31-2011,Momentum,0.239930255
1-31-2011,Growth,0.000369282
1-31-2011,Capex,0.040958804
2-28-2011,Alpha,0.51427727
2-28-2011,Market,0.147426096
2-28-2011,Size,0.028349297
2-28-2011,Quality,0.034880236
2-28-2011,Momentum,0.280815364
2-28-2011,Growth,-0.001238442
2-28-2011,Capex,0.044478164
3-31-2011,Alpha,0.569011935
3-31-2011,Market,0.135377153
3-31-2011,Size,0.032854316
3-31-2011,Quality,0.071127151
3-31-2011,Momentum,0.296647402
3-31-2011,Growth,-0.003379189
3-31-2011,Capex,0.032967748
4-30-2011,Alpha,0.619382471
4-30-2011,Market,0.151395773
4-30-2011,Size,0.032726081
4-30-2011,Quality,0.084199784
4-30-2011,Momentum,0.327288581
4-30-2011,Growth,-0.01439454
4-30-2011,Capex,0.026817303
5-31-2011,Alpha,0.604703789
5-31-2011,Market,0.146096642
5-31-2011,Size,0.035626374
5-31-2011,Quality,0.093799346
5-31-2011,Momentum,0.338304779
5-31-2011,Growth,-0.016284159
5-31-2011,Capex,0.021355222
6-30-2011,Alpha,0.513978056
6-30-2011,Market,0.1618664
6-30-2011,Size,0.037978384
6-30-2011,Quality,0.070304134
6-30-2011,Momentum,0.330937097
6-30-2011,Growth,0.000915619
6-30-2011,Capex,0.014724593
7-31-2011,Alpha,0.514865705
7-31-2011,Market,0.14667706
7-31-2011,Size,0.050222511
7-31-2011,Quality,0.077220306
7-31-2011,Momentum,0.368236091
7-31-2011,Growth,-0.00370782
7-31-2011,Capex,0.010004238
8-31-2011,Alpha,0.404490743
8-31-2011,Market,0.079654869
8-31-2011,Size,0.057473038
8-31-2011,Quality,0.057895011
8-31-2011,Momentum,0.401845719
8-31-2011,Growth,-0.006996479
8-31-2011,Capex,0.002626705
9-30-2011,Alpha,0.334077746
9-30-2011,Market,-0.001512286
9-30-2011,Size,0.061008932
9-30-2011,Quality,0.052773845
9-30-2011,Momentum,0.354899865
9-30-2011,Growth,-0.00145143
9-30-2011,Capex,0.012477853
10-31-2011,Alpha,0.645652945
10-31-2011,Market,0.069974316
10-31-2011,Size,0.01716878
10-31-2011,Quality,0.036088773
10-31-2011,Momentum,0.255800619
10-31-2011,Growth,0.013957016
10-31-2011,Capex,-0.001254803
11-30-2011,Alpha,0.674076446
11-30-2011,Market,0.026848923
11-30-2011,Size,0.028229711
11-30-2011,Quality,0.026907964
11-30-2011,Momentum,0.152571569
11-30-2011,Growth,0.009657335
11-30-2011,Capex,-0.005487803
12-31-2011,Alpha,0.671968635
12-31-2011,Market,0.013514276
12-31-2011,Size,0.030860294
12-31-2011,Quality,0.027808859
12-31-2011,Momentum,0.150271379
12-31-2011,Growth,0.010748946
12-31-2011,Capex,-0.013331634
1-31-2012,Alpha,0.814207917
1-31-2012,Market,0.073266997
1-31-2012,Size,0.04457709
1-31-2012,Quality,0.010112861
1-31-2012,Momentum,0.095463407
1-31-2012,Growth,0.00741188
1-31-2012,Capex,-0.002580564
2-29-2012,Alpha,0.912050493
2-29-2012,Market,0.129942757
2-29-2012,Size,0.039996668
2-29-2012,Quality,0.00786405
2-29-2012,Momentum,0.070502847
2-29-2012,Growth,0.008334458
2-29-2012,Capex,-0.000438425
3-31-2012,Alpha,0.962269471
3-31-2012,Market,0.1273315
3-31-2012,Size,0.045333146
3-31-2012,Quality,0.010361835
3-31-2012,Momentum,0.088203585
3-31-2012,Growth,0.008833432
3-31-2012,Capex,-0.01604365
4-30-2012,Alpha,1.015794508
4-30-2012,Market,0.110285886
4-30-2012,Size,0.051222219
4-30-2012,Quality,3.75E-05
4-30-2012,Momentum,0.107351269
4-30-2012,Growth,0.008327362
4-30-2012,Capex,-0.014841564
5-31-2012,Alpha,1.007855543
5-31-2012,Market,-0.0087409
5-31-2012,Size,0.056381358
5-31-2012,Quality,-0.012852649
5-31-2012,Momentum,0.154472669
5-31-2012,Growth,0.005790769
5-31-2012,Capex,-0.025984612
6-30-2012,Alpha,1.021472049
6-30-2012,Market,0.045040419
6-30-2012,Size,0.03217039
6-30-2012,Quality,-0.011527614
6-30-2012,Momentum,0.153047077
6-30-2012,Growth,0.006015989
6-30-2012,Capex,-0.040502427
7-31-2012,Alpha,1.082656846
7-31-2012,Market,0.052760581
7-31-2012,Size,0.023369124
7-31-2012,Quality,-0.012125888
7-31-2012,Momentum,0.17020541
7-31-2012,Growth,0.007061198
7-31-2012,Capex,-0.031615954
8-31-2012,Alpha,1.062249488
8-31-2012,Market,0.082486464
8-31-2012,Size,0.017930373
8-31-2012,Quality,0.008719899
8-31-2012,Momentum,0.16234296
8-31-2012,Growth,0.008137914
8-31-2012,Capex,-0.034365321
9-30-2012,Alpha,1.163222047
9-30-2012,Market,0.117625857
9-30-2012,Size,0.025598157
9-30-2012,Quality,0.006208371
9-30-2012,Momentum,0.156479481
9-30-2012,Growth,0.006325397
9-30-2012,Capex,-0.029193605
10-31-2012,Alpha,1.192545898
10-31-2012,Market,0.125919852
10-31-2012,Size,0.019052347
10-31-2012,Quality,0.006350354
10-31-2012,Momentum,0.157191861
10-31-2012,Growth,0.005770474
10-31-2012,Capex,-0.036222672
11-30-2012,Alpha,1.211015598
11-30-2012,Market,0.146084806
11-30-2012,Size,0.001540451
11-30-2012,Quality,0.013070198
11-30-2012,Momentum,0.160101471
11-30-2012,Growth,0.00630804
11-30-2012,Capex,-0.035552121
12-31-2012,Alpha,1.391609284
12-31-2012,Market,0.18223257
12-31-2012,Size,0.010400996
12-31-2012,Quality,0.005205971
12-31-2012,Momentum,0.152178688
12-31-2012,Growth,-3.69E-05
12-31-2012,Capex,-0.047200357
1-31-2013,Alpha,1.459941904
1-31-2013,Market,0.240671993
1-31-2013,Size,0.014714205
1-31-2013,Quality,0.011463631
1-31-2013,Momentum,0.149188186
1-31-2013,Growth,0.00010406
1-31-2013,Capex,-0.05925511
2-28-2013,Alpha,1.463396267
2-28-2013,Market,0.229590931
2-28-2013,Size,0.023662906
2-28-2013,Quality,0.018970606
2-28-2013,Momentum,0.149459774
2-28-2013,Growth,-2.51E-05
2-28-2013,Capex,-0.065044951
3-31-2013,Alpha,1.562548647
3-31-2013,Market,0.237262638
3-31-2013,Size,0.034852968
3-31-2013,Quality,0.017448862
3-31-2013,Momentum,0.167926326
3-31-2013,Growth,-0.0012067
3-31-2013,Capex,-0.069142799
4-30-2013,Alpha,1.58886878
4-30-2013,Market,0.287714683
4-30-2013,Size,0.0259489
4-30-2013,Quality,0.029006081
4-30-2013,Momentum,0.151321535
4-30-2013,Growth,-0.000212152
4-30-2013,Capex,-0.091219171
5-31-2013,Alpha,1.482454941
5-31-2013,Market,0.278821843
5-31-2013,Size,0.019525943
5-31-2013,Quality,0.048084847
5-31-2013,Momentum,0.139754106
5-31-2013,Growth,0.001171611
5-31-2013,Capex,-0.06473992
6-30-2013,Alpha,1.299186082
6-30-2013,Market,0.235451886
6-30-2013,Size,0.021809619
6-30-2013,Quality,0.042503077
6-30-2013,Momentum,0.160573195
6-30-2013,Growth,0.000400416
6-30-2013,Capex,-0.088651198
7-31-2013,Alpha,1.308336113
7-31-2013,Market,0.299476133
7-31-2013,Size,0.015449147
7-31-2013,Quality,0.045167155
7-31-2013,Momentum,0.146436418
7-31-2013,Growth,0.001092341
7-31-2013,Capex,-0.06973086
8-31-2013,Alpha,1.194921957
8-31-2013,Market,0.287203668
8-31-2013,Size,0.030041431
8-31-2013,Quality,0.043999878
8-31-2013,Momentum,0.16706818
8-31-2013,Growth,0.000841233
8-31-2013,Capex,-0.071111566
9-30-2013,Alpha,1.244089166
9-30-2013,Market,0.3619115
9-30-2013,Size,0.035999358
9-30-2013,Quality,0.045692217
9-30-2013,Momentum,0.159790066
9-30-2013,Growth,0.000437998
9-30-2013,Capex,-0.08611332
10-31-2013,Alpha,1.370601379
10-31-2013,Market,0.40501091
10-31-2013,Size,0.025545198
10-31-2013,Quality,0.048332974
10-31-2013,Momentum,0.163321547
10-31-2013,Growth,-0.000225281
10-31-2013,Capex,-0.093917858
11-30-2013,Alpha,1.366179272
11-30-2013,Market,0.415608605
11-30-2013,Size,0.022504342
11-30-2013,Quality,0.05715854
11-30-2013,Momentum,0.161585433
11-30-2013,Growth,-0.000107447
11-30-2013,Capex,-0.100943064
12-31-2013,Alpha,1.370687682
12-31-2013,Market,0.437428618
12-31-2013,Size,0.024915793
12-31-2013,Quality,0.060185502
12-31-2013,Momentum,0.161054946
12-31-2013,Growth,-6.43E-05
12-31-2013,Capex,-0.093570314
1-31-2014,Alpha,1.051046226
1-31-2014,Market,0.41271914
1-31-2014,Size,0.040009986
1-31-2014,Quality,0.115886486
1-31-2014,Momentum,0.132659537
1-31-2014,Growth,-0.001738934
1-31-2014,Capex,-0.110869122
2-28-2014,Alpha,1.029595389
2-28-2014,Market,0.473697963
2-28-2014,Size,0.031680768
2-28-2014,Quality,0.096959777
2-28-2014,Momentum,0.157105191
2-28-2014,Growth,-0.00127616
2-28-2014,Capex,-0.121436269
3-31-2014,Alpha,1.149103436
3-31-2014,Market,0.477997345
3-31-2014,Size,0.038633438
3-31-2014,Quality,0.139152331
3-31-2014,Momentum,0.1161639
3-31-2014,Growth,-0.000687049
3-31-2014,Capex,-0.123758182
4-30-2014,Alpha,1.204440678
4-30-2014,Market,0.494188276
4-30-2014,Size,0.027784297
4-30-2014,Quality,0.151006425
4-30-2014,Momentum,0.105331709
4-30-2014,Growth,-0.000668479
4-30-2014,Capex,-0.119217102
5-31-2014,Alpha,1.332102491
5-31-2014,Market,0.518171493
5-31-2014,Size,0.023974466
5-31-2014,Quality,0.166038359
5-31-2014,Momentum,0.092636078
5-31-2014,Growth,-0.001246778
5-31-2014,Capex,-0.117721225
6-30-2014,Alpha,1.381339517
6-30-2014,Market,0.5348818
6-30-2014,Size,0.034402835
6-30-2014,Quality,0.16150569
6-30-2014,Momentum,0.097944871
6-30-2014,Growth,-0.001478951
6-30-2014,Capex,-0.107533499
7-31-2014,Alpha,1.337273826
7-31-2014,Market,0.510115631
7-31-2014,Size,0.038174783
7-31-2014,Quality,0.165563362
7-31-2014,Momentum,0.094621587
7-31-2014,Growth,-0.001621824
7-31-2014,Capex,-0.105659217
8-31-2014,Alpha,1.398200238
8-31-2014,Market,0.505173295
8-31-2014,Size,0.039477623
8-31-2014,Quality,0.161492366
8-31-2014,Momentum,0.095417494
8-31-2014,Growth,-0.001688106
8-31-2014,Capex,-0.107423346
9-30-2014,Alpha,1.336121276
9-30-2014,Market,0.444803054
9-30-2014,Size,0.029499907
9-30-2014,Quality,0.159162676
9-30-2014,Momentum,0.097026615
9-30-2014,Growth,-0.001672693
9-30-2014,Capex,-0.108748466
10-31-2014,Alpha,1.391309124
10-31-2014,Market,0.418617711
