trade_dt,Country,VaR90D%
1/2/2017,India,-0.009110593
1/2/2017,United States,-0.000634302
1/2/2017,China,-0.000295233
1/2/2017,Brazil,-0.002725544
1/2/2017,Indonesia,-0.001233076
1/2/2017,Mexico,-0.005399431
1/2/2017,Taiwan,-0.000661957
1/2/2017,Japan,-0.000701254
1/2/2017,Philippines,-0.005827437
1/2/2017,Chile,-4.91381E-05
1/3/2017,Indonesia,-0.001227554
1/3/2017,Brazil,-0.00280028
1/3/2017,Chile,-5.45221E-05
1/3/2017,Mexico,-0.005466996
1/3/2017,United States,-0.000643358
1/3/2017,China,-0.000300659
1/3/2017,Taiwan,-0.000665938
1/3/2017,Japan,-0.000702823
1/3/2017,Philippines,-0.005760578
1/3/2017,India,-0.009075821
1/4/2017,Indonesia,-0.001336036
1/4/2017,India,-0.008989895
1/4/2017,Taiwan,-0.000684563
1/4/2017,Brazil,-0.002748662
1/4/2017,China,-0.000327547
1/4/2017,Philippines,-0.006469208
1/4/2017,Chile,-6.75709E-05
1/4/2017,Mexico,-0.004907467
1/4/2017,Japan,-0.000770347
1/4/2017,United States,-0.000599878
1/5/2017,Taiwan,-0.000790486
1/5/2017,Philippines,-0.00710056
1/5/2017,Japan,-0.000809527
1/5/2017,Chile,-6.70622E-05
1/5/2017,Mexico,-0.004670288
1/5/2017,China,-0.000400338
1/5/2017,Brazil,-0.002664308
1/5/2017,Indonesia,-0.001353012
1/5/2017,United States,-0.000569452
1/5/2017,India,-0.009000349
1/6/2017,Indonesia,-0.001344506
1/6/2017,China,-0.000394371
1/6/2017,United States,-0.000559292
1/6/2017,India,-0.008910892
1/6/2017,Brazil,-0.002721679
1/6/2017,Japan,-0.000795013
1/6/2017,Taiwan,-0.000778893
1/6/2017,Mexico,-0.004531071
1/6/2017,Philippines,-0.007005716
1/6/2017,Chile,-6.67208E-05
1/9/2017,Taiwan,-0.000781444
1/9/2017,India,-0.008993281
1/9/2017,Brazil,-0.002826721
1/9/2017,United States,-0.000552114
1/9/2017,Indonesia,-0.001366029
1/9/2017,Chile,-6.89096E-05
1/9/2017,Mexico,-0.004416619
1/9/2017,China,-0.000389684
1/9/2017,Japan,-0.000808374
1/9/2017,Philippines,-0.007143586
1/10/2017,Philippines,-0.007033873
1/10/2017,India,-0.009139991
1/10/2017,Brazil,-0.00292164
