trade_dt,Ticker_Und,VaR90D%
1/2/2017,6409 TT Equity,-0.00066
1/2/2017,4613 JT Equity,-0.00070
1/2/2017,MRCO IN Equity,-0.00074
1/2/2017,URC PM Equity,0.00000
1/2/2017,2199 HK Equity,-0.00030
1/2/2017,TVSL IN Equity,-0.00111
1/2/2017,EIM IN Equity,-0.00150
1/2/2017,MPI PM Equity,-0.00207
1/2/2017,KINO IJ Equity,-0.00011
1/2/2017,ALSEA* MM Equity,-0.00416
1/2/2017,RAIL3 BZ Equity,-0.00273
1/2/2017,DMC PM Equity,-0.00042
1/2/2017,PARAUCO CI Equity,-0.00005
1/2/2017,MIKA IJ Equity,-0.00031
1/2/2017,KLBF IJ Equity,-0.00076
1/2/2017,PI IN Equity,-0.00068
1/2/2017,PAG IN Equity,-0.00273
1/2/2017,RBK IN Equity,-0.00040
1/2/2017,ICT PM Equity,-0.00199
1/2/2017,EEM US Equity,-0.00067
1/2/2017,ACES IJ Equity,-0.00005
1/2/2017,JPYUSD Curncy,0.00004
1/2/2017,SECB PM Equity,-0.00134
1/2/2017,GFREGIO MM Equity,-0.00124
1/2/2017,SRCM IN Equity,-0.00195
1/3/2017,KINO IJ Equity,-0.00010
1/3/2017,PARAUCO CI Equity,-0.00005
1/3/2017,EIM IN Equity,-0.00150
1/3/2017,MRCO IN Equity,-0.00075
1/3/2017,ALSEA* MM Equity,-0.00420
1/3/2017,SRCM IN Equity,-0.00191
1/3/2017,GFREGIO MM Equity,-0.00127
1/3/2017,URC PM Equity,0.00000
1/3/2017,4613 JT Equity,-0.00070
1/3/2017,DMC PM Equity,-0.00042
1/3/2017,6409 TT Equity,-0.00067
1/3/2017,RAIL3 BZ Equity,-0.00280
1/3/2017,ICT PM Equity,-0.00198
1/3/2017,JPYUSD Curncy,0.00004
1/3/2017,MIKA IJ Equity,-0.00031
1/3/2017,TVSL IN Equity,-0.00113
1/3/2017,EEM US Equity,-0.00068
1/3/2017,PAG IN Equity,-0.00270
1/3/2017,RBK IN Equity,-0.00041
1/3/2017,PI IN Equity,-0.00068
1/3/2017,ACES IJ Equity,-0.00005
1/3/2017,2199 HK Equity,-0.00030
