Year,Month,value
2017,Jan,0.0478
2017,Feb,0.0269
2017,Mar,0.0485
2017,Apr,0.0499
2017,May,0.001
2017,Jun,0.0228
2017,Jul,0.0595
2017,Aug,-0.0017
2017,Sep,0.0134
2017,Oct,0.0042
2017,Nov,0.0158
2017,Dec,0.0364
2018,Jan,-0.0198
2018,Feb,-0.013
2018,Mar,-0.0273
2018,Apr,0.0135
2018,May,-0.0741
2018,Jun,-0.0193
2018,Jul,0.0342
2018,Aug,-0.0039
2018,Sep,-0.0529
2018,Oct,-0.0447
2018,Nov,0.049
2018,Dec,-0.0143
2019,Jan,0.0335
2019,Feb,-0.015
2019,Mar,0.045
2019,Apr,-0.0126
2019,May,-0.0452
2019,Jun,0.0296
2019,Jul,-0.0371
2019,Aug,-0.0503
2019,Sep,0.0164
