Trade_Dt,Annl Fund ,Annl Benchmark,Ann'l Fund Vol,Ann'l Benchmark Vol,Max Drawdown - Fund,Max Drawdown - Bench Mark,Sharpe - Fund,Sharpe - Benchmark,Sortino - Fund,Sortino - Benchmark
1/2/2017,-18.26%,-0.105532459,,,0.00%,0.00%,-1.6,-0.92,-2.25,-1.29
1/3/2017,-51.34%,1.46417734,4.75%,0.090603398,0.50%,0.00%,-4.58,11.6,-6.44,16.22
1/4/2017,79.67%,1.44630114,14.77%,0.064072206,0.50%,0.00%,6.86,11.46,9.64,16.02
1/5/2017,334.72%,3.101003849,16.45%,0.083866368,0.50%,0.00%,29.02,24.66,40.78,34.48
1/6/2017,281.08%,1.987730678,14.37%,0.085333957,0.50%,0.07%,24.45,15.78,34.37,22.06
1/9/2017,101.32%,1.191553664,16.21%,0.090123886,0.99%,0.37%,8.72,9.42,12.26,13.18
1/10/2017,92.78%,1.634608083,14.82%,0.087841364,0.99%,0.37%,7.98,12.96,11.22,18.12
1/11/2017,96.04%,1.424136666,13.72%,0.082687179,0.99%,0.37%,8.28,11.28,11.64,15.77
1/12/2017,100.74%,1.99845636,12.84%,0.087268736,0.99%,0.37%,8.7,15.86,12.23,22.18
1/13/2017,63.50%,1.637984494,12.79%,0.086176741,0.99%,0.37%,5.43,12.98,7.63,18.16
1/16/2017,16.80%,1.024790946,14.00%,0.098661054,1.96%,0.84%,1.37,8.09,1.93,11.32
1/17/2017,12.44%,1.186692483,13.38%,0.095555172,2.07%,0.84%,1,9.38,1.41,13.12
1/18/2017,22.91%,1.19764786,12.96%,0.09149332,2.07%,0.84%,1.9,9.47,2.67,13.25
1/19/2017,26.40%,0.941971042,12.47%,0.092629578,2.07%,0.84%,2.22,7.43,3.12,10.39
1/20/2017,27.15%,0.815329383,12.02%,0.090777375,2.07%,0.84%,2.27,6.42,3.19,8.98
1/23/2017,41.75%,1.044178726,11.93%,0.092701721,2.07%,0.84%,3.55,8.25,4.99,11.53
1/24/2017,81.94%,1.180535957,13.27%,0.091315832,2.07%,0.84%,7.04,9.34,9.9,13.05
1/25/2017,89.96%,1.205140178,12.92%,0.088638512,2.07%,0.84%,7.75,9.53,10.89,13.33
1/26/2017,89.56%,1.261362703,12.56%,0.086416094,2.07%,0.84%,7.72,9.98,10.84,13.96
1/27/2017,95.63%,1.146915547,12.25%,0.085385806,2.07%,0.84%,8.24,9.07,11.58,12.68
1/30/2017,75.52%,0.994740827,12.35%,0.085898767,2.07%,0.84%,6.49,7.85,9.13,10.98
1/31/2017,71.47%,0.841945525,12.07%,0.087080823,2.07%,0.84%,6.15,6.63,8.64,9.28
2/1/2017,88.18%,0.877324945,12.12%,0.085270718,2.07%,0.84%,7.6,6.92,10.68,9.67
2/2/2017,76.85%,0.876085183,12.01%,0.083396779,2.07%,0.84%,6.61,6.91,9.29,9.66
2/3/2017,72.86%,0.904922577,11.78%,0.081780579,2.07%,0.84%,6.26,7.14,8.8,9.98
2/6/2017,81.61%,0.940827845,11.65%,0.08035108,2.07%,0.84%,7.02,7.42,9.87,10.38
2/7/2017,74.40%,0.835586739,11.50%,0.080883398,2.07%,0.84%,6.4,6.58,9,9.21
2/8/2017,74.18%,0.829400126,11.29%,0.079379979,2.07%,0.84%,6.37,6.53,8.95,9.14
2/9/2017,71.02%,0.858869176,11.10%,0.07813666,2.07%,0.84%,6.1,6.77,8.57,9.47
2/10/2017,80.59%,0.898349977,11.07%,0.077118696,2.07%,0.84%,6.93,7.08,9.74,9.91
2/13/2017,80.84%,0.947735227,10.88%,0.076356234,2.07%,0.84%,6.96,7.48,9.78,10.46
2/14/2017,72.13%,0.885763257,10.85%,0.075998999,2.07%,0.84%,6.2,6.98,8.71,9.77
2/15/2017,72.49%,0.969795384,10.68%,0.076458964,2.07%,0.84%,6.22,7.65,8.75,10.7
2/16/2017,72.81%,0.991152465,10.52%,0.075394817,2.07%,0.84%,6.26,7.82,8.79,10.94
2/17/2017,69.00%,0.857152886,10.39%,0.078676664,2.07%,0.84%,5.93,6.76,8.33,9.45
