Trade_Dt,Alpha,Market,Size,Quality,Momentum,Growth,Capex,Fund
2010-05-31,0.091818344,0.018353174,0.048871588,0.066644781,0.347276376,-0.014061915,-0.020873582,0.538028766
2010-06-30,0.521229554,-0.012460872,0.046432627,-0.028862934,0.186166624,-0.053954853,-0.03651329,0.622036856
2010-07-31,0.511583421,0.001321311,0.018694971,-0.009176659,0.214639519,-0.010008373,0.029790183,0.756844374
2010-08-31,0.539170058,-0.000728327,0.025138817,-0.010970939,0.312242463,-0.037951988,-0.100351853,0.726548231
2010-09-30,0.721684852,0.000505733,0.026385661,-0.001240143,0.343399211,-0.057991476,-0.027352671,1.005391167
2010-10-31,0.969489198,0.034518839,0.019208403,0.026107883,0.258022784,-0.055951379,-0.025645374,1.225750354
2010-11-30,1.152798631,0.044781309,0.042200462,0.048873643,0.095552395,-0.087384507,-0.007081826,1.289740107
2010-12-31,1.110565215,0.057983781,0.016809843,0.050969243,0.165718938,-0.067384313,0.009797845,1.344460552
2011-01-31,0.675387263,0.142787533,0.024083418,0.03113701,0.239930255,0.000369282,0.040958804,1.154653565
2011-02-28,0.51427727,0.147426096,0.028349297,0.034880236,0.280815364,-0.001238442,0.044478164,1.048987985
2011-03-31,0.569011935,0.135377153,0.032854316,0.071127151,0.296647402,-0.003379189,0.032967748,1.134606517
2011-04-30,0.619382471,0.151395773,0.032726081,0.084199784,0.327288581,-0.01439454,0.026817303,1.227415453
2011-05-31,0.604703789,0.146096642,0.035626374,0.093799346,0.338304779,-0.016284159,0.021355222,1.223601993
2011-06-30,0.513978056,0.1618664,0.037978384,0.070304134,0.330937097,0.000915619,0.014724593,1.130704283
2011-07-31,0.514865705,0.14667706,0.050222511,0.077220306,0.368236091,-0.00370782,0.010004238,1.163518091
2011-08-31,0.404490743,0.079654869,0.057473038,0.057895011,0.401845719,-0.006996479,0.002626705,0.996989607
2011-09-30,0.334077746,-0.001512286,0.061008932,0.052773845,0.354899865,-0.00145143,0.012477853,0.812274525
2011-10-31,0.645652945,0.069974316,0.01716878,0.036088773,0.255800619,0.013957016,-0.001254803,1.037387646
2011-11-30,0.674076446,0.026848923,0.028229711,0.026907964,0.152571569,0.009657335,-0.005487803,0.912804144
2011-12-31,0.671968635,0.013514276,0.030860294,0.027808859,0.150271379,0.010748946,-0.013331634,0.891840754
