Trade_Dt,name,value
10-May,Alpha,0.091818344
10-May,Market,0.018353174
10-May,Size,0.048871588
10-May,Quality,0.066644781
10-May,Momentum,0.347276376
10-May,Growth,-0.014061915
10-May,Capex,-0.020873582
10-Jun,Alpha,0.521229554
10-Jun,Market,-0.012460872
10-Jun,Size,0.046432627
10-Jun,Quality,-0.028862934
10-Jun,Momentum,0.186166624
10-Jun,Growth,-0.053954853
10-Jun,Capex,-0.03651329
10-Jul,Alpha,0.511583421
10-Jul,Market,0.001321311
10-Jul,Size,0.018694971
10-Jul,Quality,-0.009176659
10-Jul,Momentum,0.214639519
10-Jul,Growth,-0.010008373
10-Jul,Capex,0.029790183
10-Aug,Alpha,0.539170058
10-Aug,Market,-0.000728327
10-Aug,Size,0.025138817
10-Aug,Quality,-0.010970939
10-Aug,Momentum,0.312242463
10-Aug,Growth,-0.037951988
10-Aug,Capex,-0.100351853
10-Sep,Alpha,0.721684852
10-Sep,Market,0.000505733
10-Sep,Size,0.026385661
10-Sep,Quality,-0.001240143
10-Sep,Momentum,0.343399211
10-Sep,Growth,-0.057991476
10-Sep,Capex,-0.027352671
10-Oct,Alpha,0.969489198
10-Oct,Market,0.034518839
10-Oct,Size,0.019208403
10-Oct,Quality,0.026107883
10-Oct,Momentum,0.258022784
10-Oct,Growth,-0.055951379
10-Oct,Capex,-0.025645374
10-Nov,Alpha,1.152798631
10-Nov,Market,0.044781309
10-Nov,Size,0.042200462
10-Nov,Quality,0.048873643
10-Nov,Momentum,0.095552395
10-Nov,Growth,-0.087384507
10-Nov,Capex,-0.007081826
10-Dec,Alpha,1.110565215
10-Dec,Market,0.057983781
10-Dec,Size,0.016809843
10-Dec,Quality,0.050969243
10-Dec,Momentum,0.165718938
10-Dec,Growth,-0.067384313
10-Dec,Capex,0.009797845
11-Jan,Alpha,0.675387263
11-Jan,Market,0.142787533
11-Jan,Size,0.024083418
11-Jan,Quality,0.03113701
11-Jan,Momentum,0.239930255
11-Jan,Growth,0.000369282
11-Jan,Capex,0.040958804
11-Feb,Alpha,0.51427727
11-Feb,Market,0.147426096
11-Feb,Size,0.028349297
11-Feb,Quality,0.034880236
11-Feb,Momentum,0.280815364
11-Feb,Growth,-0.001238442
11-Feb,Capex,0.044478164
11-Mar,Alpha,0.569011935
11-Mar,Market,0.135377153
11-Mar,Size,0.032854316
11-Mar,Quality,0.071127151
11-Mar,Momentum,0.296647402
11-Mar,Growth,-0.003379189
11-Mar,Capex,0.032967748
11-Apr,Alpha,0.619382471
11-Apr,Market,0.151395773
11-Apr,Size,0.032726081
11-Apr,Quality,0.084199784
11-Apr,Momentum,0.327288581
11-Apr,Growth,-0.01439454
11-Apr,Capex,0.026817303
11-May,Alpha,0.604703789
11-May,Market,0.146096642
11-May,Size,0.035626374
11-May,Quality,0.093799346
11-May,Momentum,0.338304779
11-May,Growth,-0.016284159
11-May,Capex,0.021355222
11-Jun,Alpha,0.513978056
11-Jun,Market,0.1618664
11-Jun,Size,0.037978384
11-Jun,Quality,0.070304134
11-Jun,Momentum,0.330937097
11-Jun,Growth,0.000915619
11-Jun,Capex,0.014724593
11-Jul,Alpha,0.514865705
11-Jul,Market,0.14667706
11-Jul,Size,0.050222511
11-Jul,Quality,0.077220306
11-Jul,Momentum,0.368236091
11-Jul,Growth,-0.00370782
11-Jul,Capex,0.010004238
11-Aug,Alpha,0.404490743
11-Aug,Market,0.079654869
11-Aug,Size,0.057473038
11-Aug,Quality,0.057895011
11-Aug,Momentum,0.401845719
11-Aug,Growth,-0.006996479
11-Aug,Capex,0.002626705
11-Sep,Alpha,0.334077746
11-Sep,Market,-0.001512286
11-Sep,Size,0.061008932
11-Sep,Quality,0.052773845
11-Sep,Momentum,0.354899865
11-Sep,Growth,-0.00145143
11-Sep,Capex,0.012477853
11-Oct,Alpha,0.645652945
11-Oct,Market,0.069974316
11-Oct,Size,0.01716878
11-Oct,Quality,0.036088773
11-Oct,Momentum,0.255800619
11-Oct,Growth,0.013957016
11-Oct,Capex,-0.001254803
11-Nov,Alpha,0.674076446
11-Nov,Market,0.026848923
11-Nov,Size,0.028229711
11-Nov,Quality,0.026907964
11-Nov,Momentum,0.152571569
11-Nov,Growth,0.009657335
11-Nov,Capex,-0.005487803
11-Dec,Alpha,0.671968635
11-Dec,Market,0.013514276
11-Dec,Size,0.030860294
11-Dec,Quality,0.027808859
11-Dec,Momentum,0.150271379
11-Dec,Growth,0.010748946
11-Dec,Capex,-0.013331634
12-Jan,Alpha,0.814207917
12-Jan,Market,0.073266997
12-Jan,Size,0.04457709
12-Jan,Quality,0.010112861
12-Jan,Momentum,0.095463407
12-Jan,Growth,0.00741188
12-Jan,Capex,-0.002580564
