date,annual_downside,annual_upside,Annl_Vol_T12M
31-Oct-10,0.19,0.01,0.24
30-Nov-10,0.19,0.01,0.24
31-Dec-10,0.21,0.01,0.24
31-Jan-11,0.21,0.11,0.28
28-Feb-11,0.21,0.11,0.29
31-Mar-11,0.17,0.11,0.25
30-Apr-11,0.16,0.11,0.23
31-May-11,0.16,0.12,0.23
30-Jun-11,0.18,0.11,0.24
31-Jul-11,0.19,0.11,0.23
31-Aug-11,0.19,0.11,0.25
30-Sep-11,0.12,0.12,0.21
31-Oct-11,0.14,0.12,0.22
30-Nov-11,0.15,0.11,0.23
31-Dec-11,0.16,0.11,0.22
31-Jan-12,0.15,0.11,0.23
29-Feb-12,0.13,0.13,0.23
31-Mar-12,0.14,0.13,0.23
30-Apr-12,0.15,0.13,0.23
31-May-12,0.15,0.10,0.23
30-Jun-12,0.14,0.11,0.23
31-Jul-12,0.14,0.11,0.23
31-Aug-12,0.14,0.12,0.21
30-Sep-12,0.13,0.09,0.18
31-Oct-12,0.09,0.09,0.15
30-Nov-12,0.09,0.08,0.12
30-Jun-13,0.09,0.13,0.15
31-Jul-13,0.09,0.13,0.15
31-Aug-13,0.09,0.10,0.15
30-Sep-13,0.08,0.10,0.15
31-Oct-13,0.08,0.10,0.16
30-Nov-13,0.09,0.10,0.16
31-Dec-13,0.07,0.10,0.14
31-Jan-14,0.07,0.13,0.18
28-Feb-14,0.07,0.13,0.18
31-Mar-14,0.07,0.13,0.18
30-Apr-14,0.07,0.13,0.18
31-May-14,0.07,0.13,0.18
30-Jun-14,0.07,0.18,0.16
31-Jul-14,0.07,0.16,0.16
31-Aug-14,0.07,0.22,0.16
30-Sep-14,0.07,0.16,0.16
31-Oct-14,0.06,0.16,0.15
30-Nov-14,0.06,0.14,0.15
31-Dec-14,0.06,0.13,0.16
31-Jan-15,0.06,0.03,0.11
28-Feb-15,0.05,0.03,0.11
31-Mar-15,0.05,0.03,0.10
30-Apr-15,0.05,0.03,0.10
31-May-15,0.02,0.03,0.09
30-Jun-15,0.01,0.04,0.08
31-Jul-15,0.01,0.04,0.08
31-Aug-15,0.01,0.06,0.09
30-Sep-15,0.01,0.06,0.09
31-Oct-15,0.05,0.06,0.10
30-Nov-15,0.05,0.06,0.11
31-Dec-15,0.05,0.07,0.11
31-Jan-16,0.05,0.07,0.11
29-Feb-16,0.06,0.07,0.11
31-Mar-16,0.13,0.08,0.15
30-Apr-16,0.14,0.08,0.15
31-May-16,0.15,0.08,0.15
30-Jun-16,0.13,0.08,0.16
31-Jul-16,0.12,0.09,0.16
31-Aug-16,0.11,0.07,0.15
30-Sep-16,0.11,0.07,0.14
31-Oct-16,0.12,0.07,0.14
30-Nov-16,0.12,0.21,0.21
31-Dec-16,0.12,0.22,0.21
31-Jan-17,0.11,0.27,0.20
28-Feb-17,0.10,0.27,0.20
31-Mar-17,0.07,0.27,0.18
30-Apr-17,0.06,0.27,0.19
31-May-17,0.07,0.33,0.19
30-Jun-17,0.07,0.33,0.19
31-Jul-17,0.08,0.33,0.19
31-Aug-17,0.08,0.27,0.18
30-Sep-17,0.07,0.34,0.18
31-Oct-17,0.08,0.34,0.18
31-Jan-18,0.07,0.04,0.09
28-Feb-18,0.08,0.03,0.09
31-Mar-18,0.08,0.04,0.10
30-Apr-18,0.07,0.04,0.09
31-May-18,0.07,0.09,0.12
30-Jun-18,0.07,0.08,0.12
31-Jul-18,0.05,0.08,0.10
31-Aug-18,0.05,0.08,0.10
30-Sep-18,0.05,0.08,0.11
31-Oct-18,0.04,0.08,0.12
30-Nov-18,0.05,0.08,0.13
31-Dec-18,0.06,0.08,0.12
31-Jan-19,0.05,0.08,0.13
28-Feb-19,0.05,0.08,0.13
31-Mar-19,0.05,0.08,0.14
30-Apr-19,0.03,0.08,0.14
31-May-19,0.03,0.06,0.13
30-Jun-19,0.03,0.07,0.13
31-Jul-19,0.03,0.06,0.13
