trade_dt,India,China,Brazil,Mexico,Taiwan,Philippines
01-02-17,-0.0091,-0.0003,-0.0027,-0.0054,-0.0007,-0.0058
01-03-17,-0.0091,-0.0003,-0.0028,-0.0055,-0.0007,-0.0058
01-04-17,-0.0090,-0.0003,-0.0027,-0.0049,-0.0007,-0.0065
01-05-17,-0.0090,-0.0004,-0.0027,-0.0047,-0.0008,-0.0071
01-06-17,-0.0089,-0.0004,-0.0027,-0.0045,-0.0008,-0.0070
01-09-17,-0.0090,-0.0004,-0.0028,-0.0044,-0.0008,-0.0071
01-10-17,-0.0091,-0.0003,-0.0029,-0.0042,-0.0008,-0.0070
01-11-17,-0.0092,-0.0003,-0.0029,-0.0041,-0.0008,-0.0070
01-12-17,-0.0092,-0.0003,-0.0032,-0.0042,-0.0007,-0.0068
1/13/2017,-0.0092,-0.0003,-0.0031,-0.0042,-0.0007,-0.0067
1/16/2017,-0.0092,-0.0003,-0.0030,-0.0043,-0.0007,-0.0064
1/17/2017,-0.0093,-0.0003,-0.0031,-0.0041,-0.0007,-0.0062
1/18/2017,-0.0096,-0.0003,-0.0031,-0.0039,-0.0008,-0.0064
1/19/2017,-0.0097,-0.0003,-0.0031,-0.0037,-0.0007,-0.0065
1/20/2017,-0.0094,-0.0003,-0.0033,-0.0039,-0.0007,-0.0063
1/23/2017,-0.0091,-0.0003,-0.0034,-0.0042,-0.0007,-0.0065
1/24/2017,-0.0096,-0.0003,-0.0034,-0.0049,-0.0006,-0.0060
1/25/2017,-0.0095,-0.0003,-0.0034,-0.0051,-0.0006,-0.0059
1/26/2017,-0.0094,-0.0003,-0.0035,-0.0051,-0.0006,-0.0059
1/27/2017,-0.0094,-0.0002,-0.0035,-0.0053,-0.0006,-0.0058
1/30/2017,-0.0095,-0.0003,-0.0035,-0.0055,-0.0006,-0.0050
1/31/2017,-0.0093,-0.0003,-0.0034,-0.0056,-0.0005,-0.0051
02-01-17,-0.0093,-0.0002,-0.0033,-0.0055,-0.0005,-0.0049
02-02-17,-0.0093,-0.0002,-0.0034,-0.0055,-0.0005,-0.0049
02-03-17,-0.0092,-0.0002,-0.0034,-0.0054,-0.0005,-0.0048
02-06-17,-0.0092,-0.0003,-0.0033,-0.0051,-0.0005,-0.0046
02-07-17,-0.0093,-0.0002,-0.0034,-0.0040,-0.0003,-0.0041
