Date,Net
1-May-19,0.21
2-May-19,0.15
3-May-19,0.28
6-May-19,0.34
7-May-19,0.25
8-May-19,0.31
9-May-19,0.32
10-May-19,0.13
13-May-19,-0.02
14-May-19,-0.05
15-May-19,0.16
16-May-19,0.36
17-May-19,0.44
20-May-19,0.45
21-May-19,0.48
22-May-19,0.47
23-May-19,0.11
24-May-19,0.04
27-May-19,0.04
28-May-19,-0.05
29-May-19,-0.13
30-May-19,-0.15
31-May-19,-0.28
3-Jun-19,-0.33
4-Jun-19,-0.23
5-Jun-19,-0.16
6-Jun-19,-0.16
7-Jun-19,-0.07
10-Jun-19,0.16
11-Jun-19,0.15
12-Jun-19,0.15
13-Jun-19,0.14
14-Jun-19,0.12
17-Jun-19,0.12
18-Jun-19,0.22
19-Jun-19,0.32
20-Jun-19,0.37
21-Jun-19,0.5
24-Jun-19,0.49
25-Jun-19,0.43
26-Jun-19,0.52
27-Jun-19,0.55
28-Jun-19,0.52
1-Jul-19,0.45
2-Jul-19,0.38
3-Jul-19,0.37
4-Jul-19,0.37
5-Jul-19,0.38
8-Jul-19,0.36
9-Jul-19,0.36
10-Jul-19,0.39
11-Jul-19,0.61
12-Jul-19,0.54
15-Jul-19,0.55
16-Jul-19,0.55
17-Jul-19,0.58
18-Jul-19,0.48
19-Jul-19,0.49
22-Jul-19,0.54
23-Jul-19,0.54
24-Jul-19,0.48
25-Jul-19,0.41
26-Jul-19,0.42
29-Jul-19,0.41
30-Jul-19,0.32
31-Jul-19,0.29
1-Aug-19,0.2
2-Aug-19,0.28
5-Aug-19,0.32
6-Aug-19,0.36
7-Aug-19,0.2
8-Aug-19,0.21
9-Aug-19,0.32
12-Aug-19,0.29
13-Aug-19,0.3
14-Aug-19,0.32
15-Aug-19,0.24
16-Aug-19,0.25
19-Aug-19,0.35
20-Aug-19,0.33
21-Aug-19,0.38
22-Aug-19,0.28
23-Aug-19,0.04
26-Aug-19,-0.02
27-Aug-19,0.05
28-Aug-19,0.13
29-Aug-19,0.26
30-Aug-19,0.24
