Date,Sector,Net
2017-01-02,Index,0.0395
2017-01-02,Industrials,0.2002
2017-01-02,Consumer Discretionary,0.2892
2017-01-02,Real Estate,0.0039
2017-01-02,Consumer Staples,0.0356
2017-01-02,Financials,0.2161
2017-01-02,Materials,0.1451
2017-01-02,Currency,0
2017-01-02,Health Care,0.0621
2017-01-03,Currency,0
2017-01-03,Consumer Discretionary,0.2894
2017-01-03,Financials,0.2155
2017-01-03,Industrials,0.2016
2017-01-03,Health Care,0.0613
2017-01-03,Real Estate,0.0043
2017-01-03,Materials,0.1439
2017-01-03,Consumer Staples,0.0359
2017-01-03,Index,0.0401
2017-01-04,Currency,0
2017-01-04,Consumer Discretionary,0.2844
2017-01-04,Financials,0.2219
2017-01-04,Health Care,0.0623
2017-01-04,Consumer Staples,0.036
2017-01-04,Materials,0.1437
2017-01-04,Real Estate,0.0053
2017-01-04,Industrials,0.2
2017-01-04,Index,0.0382
2017-01-05,Health Care,0.0623
2017-01-05,Consumer Discretionary,0.282
2017-01-05,Materials,0.1427
2017-01-05,Consumer Staples,0.0366
2017-01-05,Index,0.038
2017-01-05,Currency,0
2017-01-05,Financials,0.227
2017-01-05,Real Estate,0.0053
2017-01-05,Industrials,0.1985
2017-01-06,Consumer Discretionary,0.2803
2017-01-06,Real Estate,0.0053
2017-01-06,Health Care,0.0624
2017-01-06,Currency,0
2017-01-06,Financials,0.2266
2017-01-06,Materials,0.1427
2017-01-06,Index,0.0377
2017-01-06,Consumer Staples,0.0365
2017-01-06,Industrials,0.2003
2017-01-09,Consumer Staples,0.0364
2017-01-09,Industrials,0.2026
2017-01-09,Financials,0.2261
2017-01-09,Currency,0
2017-01-09,Health Care,0.0626
2017-01-09,Real Estate,0.0053
2017-01-09,Consumer Discretionary,0.2755
2017-01-09,Materials,0.1439
2017-01-09,Index,0.0381
2017-01-10,Health Care,0.0632
2017-01-10,Consumer Discretionary,0.2723
2017-01-10,Real Estate,0.006
2017-01-10,Currency,0
2017-01-10,Index,0.0382
2017-01-10,Financials,0.2269
2017-01-10,Consumer Staples,0.037
2017-01-10,Industrials,0.2036
2017-01-10,Materials,0.1432
2017-01-11,Industrials,0.2033
2017-01-11,Index,0.0386
2017-01-11,Currency,0
2017-01-11,Financials,0.2248
2017-01-11,Real Estate,0.0062
2017-01-11,Consumer Discretionary,0.2714
2017-01-11,Materials,0.145
2017-01-11,Consumer Staples,0.0375
2017-01-11,Health Care,0.0628
2017-01-12,Real Estate,0.0065
2017-01-12,Consumer Staples,0.0382
2017-01-12,Financials,0.2243
2017-01-12,Index,0.0386
2017-01-12,Consumer Discretionary,0.2707
2017-01-12,Industrials,0.2043
2017-01-12,Materials,0.1452
2017-01-12,Currency,0
2017-01-12,Health Care,0.0623
2017-01-13,Index,0.0388
2017-01-13,Industrials,0.202
2017-01-13,Financials,0.2237
2017-01-13,Currency,0
2017-01-13,Real Estate,0.0066
2017-01-13,Consumer Staples,0.0387
2017-01-13,Health Care,0.0619
2017-01-13,Consumer Discretionary,0.2719
2017-01-13,Materials,0.1463
2017-01-16,Currency,0
2017-01-16,Consumer Discretionary,0.2727
2017-01-16,Financials,0.2235
2017-01-16,Industrials,0.2007
2017-01-16,Materials,0.1474
2017-01-16,Consumer Staples,0.0398
2017-01-16,Real Estate,0.0066
2017-01-16,Index,0.0394
2017-01-16,Health Care,0.0625
2017-01-17,Financials,0.2236
2017-01-17,Consumer Staples,0.0402
2017-01-17,Real Estate,0.0071
2017-01-17,Currency,0
2017-01-17,Consumer Discretionary,0.2716
2017-01-17,Health Care,0.0627
2017-01-17,Index,0.0394
2017-01-17,Materials,0.1484
2017-01-17,Industrials,0.2006
