trade_dt,India,China,Brazil,Mexico,Taiwan,Philippines
1-Jan-17,0.91,0.03,0.27,0.54,0.07,0.58
2-Jan-17,0.91,0.03,0.28,0.55,0.07,0.58
3-Jan-17,0.9,0.03,0.27,0.49,0.07,0.65
4-Jan-17,0.9,0.04,0.27,0.47,0.08,0.71
5-Jan-17,0.89,0.04,0.27,0.45,0.08,0.7
6-Jan-17,0.9,0.04,0.28,0.44,0.08,0.71
7-Jan-17,0.91,0.03,0.29,0.42,0.08,0.7
8-Jan-17,0.92,0.03,0.29,0.41,0.08,0.7
9-Jan-17,0.92,0.03,0.32,0.42,0.07,0.68
10-Jan-17,0.92,0.03,0.31,0.42,0.07,0.67
11-Jan-17,0.92,0.03,0.3,0.43,0.07,0.64
12-Jan-17,0.93,0.03,0.31,0.41,0.07,0.62
13-Jan-17,0.96,0.03,0.31,0.39,0.08,0.64
14-Jan-17,0.97,0.03,0.31,0.37,0.07,0.65
15-Jan-17,0.94,0.03,0.33,0.39,0.07,0.63
16-Jan-17,0.91,0.03,0.34,0.42,0.07,0.65
17-Jan-17,0.96,0.03,0.34,0.49,0.06,0.6
18-Jan-17,0.95,0.03,0.34,0.51,0.06,0.59
19-Jan-17,0.94,0.03,0.35,0.51,0.06,0.59
20-Jan-17,0.94,0.02,0.35,0.53,0.06,0.58
21-Jan-17,0.95,0.03,0.35,0.55,0.06,0.5
22-Jan-17,0.93,0.03,0.34,0.56,0.05,0.51
23-Jan-17,0.93,0.02,0.33,0.55,0.05,0.49
24-Jan-17,0.93,0.02,0.34,0.55,0.05,0.49
25-Jan-17,0.92,0.02,0.34,0.54,0.05,0.48
26-Jan-17,0.92,0.03,0.33,0.51,0.05,0.46
27-Jan-17,0.93,0.02,0.34,0.4,0.03,0.41
28-Jan-17,0.9,0.02,0.26,0.25,0.05,0.49
29-Jan-17,0.71,0.02,0.13,0.18,0.01,0.47
30-Jan-17,0.7,0.03,0.15,0.2,0.01,0.45
31-Jan-17,0.64,0.03,0.15,0.24,0.01,0.44
1-Feb-17,0.64,0.03,0.15,0.24,0.01,0.45
2-Feb-17,0.63,0.03,0.15,0.25,0.01,0.44
3-Feb-17,0.64,0.03,0.15,0.23,0.01,0.45
4-Feb-17,0.63,0.03,0.15,0.23,0.01,0.44
5-Feb-17,0.61,0.03,0.18,0.23,0.01,0.42
6-Feb-17,0.62,0.03,0.16,0.23,0,0.4
7-Feb-17,0.61,0.03,0.16,0.23,0,0.4
8-Feb-17,0.61,0.02,0.15,0.23,-0.01,0.41
9-Feb-17,0.61,0.02,0.15,0.23,-0.01,0.4
10-Feb-17,0.61,0.02,0.14,0.23,0,0.4
11-Feb-17,0.59,0.02,0.15,0.24,-0.01,0.43
12-Feb-17,0.56,0.03,0.1,0.21,0,0.44
13-Feb-17,0.56,0.03,0.1,0.21,0,0.45
14-Feb-17,0.55,0.02,0.1,0.22,0,0.44
15-Feb-17,0.55,0.02,0.11,0.22,0,0.45
16-Feb-17,0.55,0.02,0.11,0.22,0,0.45
17-Feb-17,0.53,0.02,0.12,0.23,0.01,0.44
18-Feb-17,0.53,0.02,0.12,0.24,0.01,0.44
19-Feb-17,0.52,0.02,0.13,0.24,0.01,0.42
20-Feb-17,0.51,0.03,0.12,0.23,0.01,0.39
21-Feb-17,0.54,0.03,0.1,0.23,0.01,0.41
22-Feb-17,0.56,0.02,0.1,0.23,0.01,0.41
23-Feb-17,0.54,0.02,0.11,0.26,0.02,0.4
24-Feb-17,0.54,0.02,0.1,0.27,0.02,0.38
25-Feb-17,0.52,0.02,0.11,0.28,0.02,0.38
26-Feb-17,0.51,0.02,0.11,0.3,0.02,0.38
27-Feb-17,0.5,0.02,0.12,0.29,0.02,0.4
28-Feb-17,0.5,0.02,0.11,0.3,0.02,0.4
1-Mar-17,0.49,0.02,0.11,0.31,0.02,0.39
2-Mar-17,0.45,0.02,0.11,0.31,0.01,0.4
3-Mar-17,0.46,0.02,0.11,0.32,0.01,0.38
4-Mar-17,0.4,0.02,0.11,0.3,0.01,0.37
5-Mar-17,0.4,0.02,0.11,0.31,0.01,0.37
6-Mar-17,0.4,0.02,0.11,0.3,0.01,0.36
7-Mar-17,0.39,0.02,0.12,0.31,0.01,0.35
8-Mar-17,0.4,0.02,0.12,0.33,0.01,0.32
9-Mar-17,0.42,0.01,0.12,0.34,0.01,0.31
10-Mar-17,0.43,0.01,0.12,0.34,0.01,0.3
11-Mar-17,0.44,0.01,0.11,0.35,0.01,0.3
12-Mar-17,0.44,0.01,0.12,0.32,0,0.31
13-Mar-17,0.44,0.01,0.12,0.32,0,0.31
14-Mar-17,0.45,0.01,0.11,0.3,0,0.31
15-Mar-17,0.44,0.01,0.1,0.31,0,0.3
16-Mar-17,0.46,0.01,0,0.31,0.01,0.31
17-Mar-17,0.49,0,0,0.3,0.01,0.28
18-Mar-17,0.48,0,0,0.31,0.01,0.27
19-Mar-17,0.49,0,0,0.3,0,0.28
20-Mar-17,0.49,0,0,0.3,0,0.28
21-Mar-17,0.49,0,0,0.3,0,0.27
22-Mar-17,0.48,0,0,0.22,0.02,0.27
23-Mar-17,0.5,0,0,0.2,0.02,0.27
24-Mar-17,0.51,0,0,0.19,0.02,0.27
25-Mar-17,0.52,0,0,0.19,0.02,0.27
26-Mar-17,0.49,0.01,0.09,0.19,0.01,0.25
27-Mar-17,0.49,0.01,0.08,0.2,0.01,0.25
28-Mar-17,0.48,0.01,0.1,0.2,0.01,0.26
29-Mar-17,0.48,0.01,0.11,0.2,0.01,0.26
30-Mar-17,0.5,0.01,0.11,0.2,0.01,0.26
31-Mar-17,0.5,0.01,0.11,0.2,0.01,0.25
1-Apr-17,0.51,0.01,0.11,0.2,0.01,0.25
2-Apr-17,0.49,0.01,0.12,0.2,0.01,0.25
3-Apr-17,0.51,0.01,0.13,0.2,0.01,0.25
4-Apr-17,0.51,0.01,0.12,0.19,0.02,0.25
5-Apr-17,0.51,0.01,0.12,0.18,0.02,0.26
6-Apr-17,0.52,0.01,0.13,0.2,0.02,0.25
7-Apr-17,0.53,0.01,0.13,0.2,0.02,0.25
8-Apr-17,0.54,0.01,0.14,0.21,0.02,0.24
9-Apr-17,0.63,0.01,0.38,0.2,0.01,0.27
10-Apr-17,0.61,0.01,0.42,0.2,0.01,0.28
11-Apr-17,0.63,0.01,0.41,0.2,0.01,0.29
12-Apr-17,0.63,0.01,0.42,0.2,0.01,0.29
13-Apr-17,0.62,0.01,0.45,0.2,0.01,0.29
14-Apr-17,0.65,0.01,0.45,0.2,0.01,0.28
15-Apr-17,0.65,0.01,0.46,0.21,0.01,0.28
16-Apr-17,0.66,0.01,0.46,0.2,0.01,0.28
17-Apr-17,0.65,0.01,0.45,0.21,0.01,0.28
18-Apr-17,0.65,0.01,0.45,0.2,0.01,0.28
19-Apr-17,0.65,0.01,0.43,0.21,0.01,0.29
20-Apr-17,0.65,0.01,0.42,0.21,0.01,0.29
21-Apr-17,0.66,0.01,0.38,0.22,0.01,0.29
22-Apr-17,0.67,0.01,0.37,0.22,0.01,0.28
